run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,nu_eff,G_eff,D_rve,E_bending,porosity,N_membrane,B_coupling,D_classical,l_squared,l,D_ratio,E_bending_material
T_m2_r1,0.45,0.033,Composite,9.36e9,0.33,0.25,0.04,0.10,0.15,2.2e9,0.8,Gmsh,Lesicar,Z,No,0,6116906619.836467,0.3364949542958491,2326991539.7142134,26027146.371425238,7616540319.027046,0.09677335342437898,-84.39199077565188,-767.1999202994424,23571602.369497716,0.005211081781966608,0.07218782294796407,1.1041738259213578,6754128185.228513
T_m2_r2,0.45,0.033,Composite,9.36e9,0.33,0.25,0.04,0.10,0.15,2.2e9,0.8,Gmsh,Lesicar,Z,No,0,6173154686.151081,0.3368012459807042,2344862933.899216,26226364.555790663,7674839193.281218,0.09519875675041367,-613.9738145074401,-5581.580162130193,23793888.677985474,0.005122784101110684,0.07157362713395685,1.1022311195418746,6804243200.821475
T_m5_r1,0.50,0.033,Composite,9.43e9,0.33,0.15,0.04,0.05,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,6084882623.262881,0.3385795096712698,2287125490.2280736,39576934.44301318,7598771413.05853,0.048214883717392354,-56.60759214929044,-566.075913057716,35795559.81065971,0.006613322528229771,0.08132233720343858,1.105638091773254,6727678012.248603
T_m5_r2,0.50,0.033,Composite,9.43e9,0.33,0.15,0.04,0.05,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,6223543808.91962,0.33774833336578935,2330434469.431416,39940826.44689419,7668638677.803684,0.04921939146790422,-70.01683063872574,-700.1682959539368,36588031.45535648,0.005754798146897877,0.0758603858868242,1.0916363864950942,6793846874.762929
T_m10_r1,0.50,0.033,Composite,9.49e9,0.33,0.10,0.04,0.03,0.07,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,6654655463.798626,0.3362073978870459,2491247218.0492964,42563964.714176476,8172281225.121883,0.029475129602289485,-284.44811090785316,-2844.481066692461,39076716.74429914,0.005599200183124223,0.07482780354336363,1.0892410688619607,7248524030.296103
T_m10_r2,0.50,0.033,Composite,9.49e9,0.33,0.10,0.04,0.03,0.07,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,6803987153.364345,0.3355570850999319,2543486097.229654,44735691.3953712,8589252747.91127,0.03106357373891555,-107.75066063334604,-1077.506590277361,39933936.75926891,0.007551454110690559,0.08689910304882645,1.120242456060578,7622115279.689492
T_m15_r1,0.55,0.027,Composite,9.53e9,0.33,0.05,0.035,0.02,0.03,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,8046821986.218627,0.3313826105095371,3027146809.1955895,77099423.10946262,10110709129.852345,0.020451273196073982,-221.67569807077518,-2463.0632140241632,68930806.20430653,0.008920509625242006,0.09444844956505112,1.1185045896742427,9000407323.87714
T_m15_r2,0.55,0.027,Composite,9.53e9,0.33,0.05,0.035,0.02,0.03,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,7910774589.868727,0.3316328130184312,2976359031.408244,75257914.7505942,9869216332.295664,0.020492082176543303,150.57616318114773,1673.0684133087648,67778025.56439018,0.00830777004378234,0.09114696947119164,1.110358617323516,8783796735.564642
T_m20_r1,0.55,0.027,Composite,9.59e9,0.33,0.03,0.03,0.01,0.02,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,8663918096.195297,0.3305984775780808,3256090979.8022146,81193349.62666339,10647580853.984951,0.011456764587917334,1189.4333412051697,13215.925488237079,74173732.21450177,0.007126750131064447,0.08442008132585781,1.0946375111860585,9483849741.939075
T_m20_r2,0.55,0.027,Composite,9.59e9,0.33,0.03,0.03,0.01,0.02,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,8634800653.310833,0.3304548240850478,3251797722.914081,83213181.10833453,10912458693.25881,0.009753874575022636,1005.2824110985288,11169.804123913293,73916570.67492259,0.009450955776716704,0.09721602633679646,1.1257716686329708,9720813939.790804
T_m30_r1,0.55,0.027,Composite,9.72e9,0.33,0.02,0.03,0.005,0.015,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,9086520363.306684,0.330333862231211,3413192548.516702,88058314.24788897,11547842589.71018,0.006536843873573561,-59.6712729615421,-663.0141176713205,77776452.66680688,0.009958308703152282,0.09979132579113419,1.1321976154547628,10287736688.116974
T_m30_r2,0.55,0.027,Composite,9.72e9,0.33,0.02,0.03,0.005,0.015,2.2e9,0.7,Gmsh,Lesicar,Z,No,0,9087016883.898039,0.3302677213371765,3415341076.46162,85444003.93625352,11205005638.795622,0.005783199214995927,-40.36507091661591,-448.5007701405796,77776888.12377493,0.007421173121275007,0.08614623103348751,1.0985783308825245,9982799841.014027
CH_m2_r1,0.45,0.033,Composite,9.36e9,0.33,0.25,0.04,0.10,0.15,2.2e9,0.8,Gmsh,Lesicar,Z,Yes,0.05,6138534365.841456,0.33406630862948783,2298977900.4670033,25862532.191844407,7568367902.505908,0.09790263623370488,119.52638489383692,1086.6035049227553,23611582.567288835,0.00483510546701264,0.06953492264332103,1.095332433484319,6723735784.964245
CH_m2_r2,0.45,0.033,Composite,9.36e9,0.33,0.25,0.04,0.10,0.15,2.2e9,0.8,Gmsh,Lesicar,Z,Yes,0.08,6309806339.932998,0.33460396780674484,2381730954.571503,27256920.800471045,7976419438.638075,0.10062461855148541,-24.82486361506138,-225.6805795416135,24280197.814296454,0.006171925745927794,0.07856160478202946,1.1225987946614613,7083380991.756028
CH_m5_r1,0.50,0.033,Composite,9.43e9,0.33,0.15,0.04,0.05,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.03,6683007322.288364,0.33490449370364,2507287561.623841,44288928.24054998,8503474222.185596,0.04849380411600279,-368.62031029057624,-3686.2030479770565,39204552.383787125,0.008111356566488079,0.09006306993706177,1.1296884047288722,7549715880.707314
CH_m5_r2,0.50,0.033,Composite,9.43e9,0.33,0.15,0.04,0.05,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.05,6578883294.479837,0.3359182384110846,2451775328.526446,42211963.05285781,8104696906.148699,0.04952464449355887,-2.6180578460835306,-26.180578070714294,38623312.83123727,0.005854778257806143,0.07651652277649673,1.09291409665714,7190154292.799181
CH_m10_r1,0.50,0.033,Composite,9.49e9,0.33,0.10,0.04,0.03,0.07,2.2e9,0.7,Gmsh,Lesicar,Z,Yes,0.02,6545480598.5566,0.33646855265264164,2450530687.7442193,42025497.384486355,8068895497.821381,0.028889972049539026,440.7753548155408,4407.753482474763,38443246.50598508,0.005847306293966608,0.07646768136910265,1.0931828397464707,7155407068.235533
CH_m10_r2,0.50,0.033,Composite,9.49e9,0.33,0.10,0.04,0.03,0.07,2.2e9,0.7,Gmsh,Lesicar,Z,Yes,0.04,6728435868.739402,0.3347320327559323,2516829752.7364783,44006557.8480575,8449259106.82704,0.02938509486898644,1931.2358156576556,19312.357868799998,39465916.49509171,0.007216445765596791,0.08494966607113173,1.1150522211622909,7502557360.385898
BN_soft_r1,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,0.5e9,0.75,Gmsh,Lesicar,Z,No,0,5892459680.433257,0.33852158580759684,2232505559.237992,25442282.184501152,7445386647.499193,0.09988221241405604,21.34068114701837,194.0061932968643,22741775.748061612,0.005973483111313847,0.07728831160863749,1.1187465071486213,6592168685.998787
BN_soft_r2,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,0.5e9,0.75,Gmsh,Lesicar,Z,No,0,6348790504.922864,0.3351840059790273,2384943860.6677794,26548739.619700726,7769178489.532906,0.09598032355754726,155.6786564701641,1415.2605210338645,24440901.7525196,0.004364495139269098,0.06606432576867108,1.086242229870419,6896324355.047556
