run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
PERC_p030off,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.012,0.03,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8778383414.145483,0.33048472512209637,0.012268478692597284,0.12346644016342534,0.030423528040053327,0.04269200673265061,8856650606.343987,0.33151553870390604,8778383414.145483,0.33048472512209637,MISSING,1.0089159004005661
PERC_p040off,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.012,0.04,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8636143403.421242,0.33059412154717754,0.01191136092923828,0.12351107988384522,0.040032846062315386,0.051944206991553665,8737250189.463474,0.3320616795292115,8636143403.421242,0.33059412154717754,MISSING,1.01170740008812
PERC_p050off,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8462004246.838286,0.33081606547478504,0.013628490140618288,0.12329643873242271,0.050365621319016896,0.06399411145963518,8593694452.726599,0.33284321463089805,8462004246.838286,0.33081606547478504,MISSING,1.0155625312924554
PERC_p060off,0.50,0.033,Composite,9.4374e+09,0.33,0.072,0.035,0.012,0.06,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8371581902.506055,0.33088739038393145,0.012882988103038784,0.12338962648712015,0.057976372954371413,0.0708593610574102,8510243265.547838,0.3332147690010354,8371581902.506055,0.33088739038393145,MISSING,1.0165633406752284
PERC_p070off,0.50,0.033,Composite,9.4374e+09,0.33,0.082,0.035,0.012,0.07,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8217852746.260182,0.33105159579643717,0.013029037791122855,0.12337137027610964,0.0677493654241843,0.08077840321530716,8376918652.21601,0.33393595445147495,8217852746.260182,0.33105159579643717,MISSING,1.019356139720101
PERC_p080off,0.50,0.033,Composite,9.4374e+09,0.33,0.092,0.035,0.012,0.08,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8075778873.908394,0.33162501844438896,0.012344991710255826,0.12345687603621802,0.07836662703071617,0.090711618740972,8245650393.377616,0.3345699150350837,8075778873.908394,0.33162501844438896,MISSING,1.021034691776672
PERC_p100off,0.50,0.033,Composite,9.4374e+09,0.33,0.112,0.035,0.012,0.1,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,7771827061.234666,0.3320054890676824,0.011921683784451131,0.12350978952694361,0.09879544023010123,0.11071712401455236,7999846790.160527,0.3365177814564795,7771827061.234666,0.3320054890676824,MISSING,1.0293392695346
PERC_p050on,0.50,0.033,Composite,9.4374e+09,0.33,0.0445,0.035,0.012,0.0325,2.2e9,0.70,Gmsh,Lesicar,Z,Yes,0.0175,8188814909.188823,0.33055972838071734,0.02413167862425425,0.12198354017196822,0.048900019944913,0.07303169856916725,8579110010.649675,0.33333305937596125,8188814909.188823,0.33055972838071734,MISSING,1.0476619762186705
PERC_p060on,0.50,0.033,Composite,9.4374e+09,0.33,0.051,0.035,0.012,0.039,2.2e9,0.70,Gmsh,Lesicar,Z,Yes,0.021,8098164789.094592,0.33111138830919984,0.012020387916926056,0.12349745151038424,0.07047797694172342,0.08249836485864948,8459204745.59401,0.33502654994543,8098164789.094592,0.33111138830919984,MISSING,1.044582935257827
PERC_p070on,0.50,0.033,Composite,9.4374e+09,0.33,0.0575,0.035,0.012,0.0455,2.2e9,0.70,Gmsh,Lesicar,Z,Yes,0.0245,8109253642.034973,0.33064884087270174,0.014226370336611893,0.12322170370792351,0.07017485650394661,0.08440122684055851,8408756555.39562,0.33480213945664805,8109253642.034973,0.33064884087270174,MISSING,1.0369334745935372
PERC_p080on,0.50,0.033,Composite,9.4374e+09,0.33,0.064,0.035,0.012,0.052,2.2e9,0.70,Gmsh,Lesicar,Z,Yes,0.028,7822623699.213407,0.3309160800037326,0.02019130563107141,0.12247608679611607,0.07604193493989797,0.09623324057096938,8300323078.666851,0.33504508775010045,7822623699.213407,0.3309160800037326,MISSING,1.061066388697884
PERC_p100on,0.50,0.033,Composite,9.4374e+09,0.33,0.077,0.035,0.012,0.065,2.2e9,0.70,Gmsh,Lesicar,Z,Yes,0.035,7522855795.005364,0.3320541249761132,0.018647527290263755,0.12266905908871703,0.10181918253564626,0.12046670982591001,8012297905.223069,0.33697901494610527,7522855795.005364,0.3320541249761132,MISSING,1.0650606795550512
