run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
PERC_p030off_s1,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.012,0.03,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8776297058.67259,0.33043287436020996,0.013789060576925749,0.12327636742788428,0.028902946155724862,0.04269200673265061,8855141333.816368,0.33143293279831215,8776297058.67259,0.33043287436020996,MISSING,1.0089837746622154
PERC_p030off_s2,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.012,0.03,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8770748732.315512,0.33039439620540795,0.012959682963759045,0.12338003962953012,0.029441187888247455,0.0424008708520065,8865414617.1347,0.3315207865244971,8770748732.315512,0.33039439620540795,MISSING,1.0107933641366782
PERC_p030off_s3,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.012,0.03,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8782422537.1181,0.33039312762224954,0.012570708952441612,0.1234286613809448,0.0294837283291276,0.04205443728156921,8875574685.191582,0.3315900303735033,8782422537.1181,0.33039312762224954,MISSING,1.0106066575229993
PERC_p030off_s4,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.012,0.03,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8782451105.385473,0.3301814710256963,0.017788685381781022,0.12277641432727737,0.023852415467723986,0.04164110084950501,8880553128.18182,0.33131201203738003,8782451105.385473,0.3301814710256963,MISSING,1.011170232731064
PERC_p030off_s5,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.012,0.03,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8775521148.761503,0.3303523559949333,0.012330316599427738,0.12345871042507153,0.0305950951038072,0.04292541170323494,8857880408.674782,0.3315682660521253,8775521148.761503,0.3303523559949333,MISSING,1.0093851132618947
PERC_p040off_s1,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.012,0.04,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8645045502.993755,0.33049237021236955,0.012630215486838736,0.12342122306414516,0.039192119358460786,0.05182233484529952,8745916031.33509,0.3321253122137916,8645045502.993755,0.33049237021236955,MISSING,1.0116680158949314
PERC_p040off_s2,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.012,0.04,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8640966875.425718,0.3304552709384461,0.012333772079143657,0.12345827849010704,0.039313964410807145,0.0516477364899508,8761184525.275719,0.33213179550724714,8640966875.425718,0.3304552709384461,MISSING,1.0139125229367434
PERC_p040off_s3,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.012,0.04,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8633749070.968729,0.33045184016473095,0.012127425205667564,0.12348407184929155,0.0404510131551401,0.05257843836080767,8736049037.185385,0.3321724322897668,8633749070.968729,0.33045184016473095,MISSING,1.011848846355825
PERC_p040off_s4,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.012,0.04,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8599560556.30119,0.3305110083421568,0.011879755525091795,0.12351503055936353,0.04215588458680486,0.054035640111896655,8721743811.189938,0.3326620293410229,8599560556.30119,0.3305110083421568,MISSING,1.0142080812256413
PERC_p040off_s5,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.012,0.04,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8615542399.140102,0.33065260737056706,0.012011900784322904,0.12349851240195964,0.0419347958967613,0.053946696681084205,8711417698.901865,0.3321431346992758,8615542399.140102,0.33065260737056706,MISSING,1.011128179204519
PERC_p050off_s1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8466677965.863772,0.33076909263893955,0.012820596844197452,0.12339742539447532,0.05032574231712594,0.0631463391613234,8595206034.229305,0.33268926055080367,8466677965.863772,0.33076909263893955,MISSING,1.0151804602565182
