run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,nu_eff,G_eff,D_rve,E_bending,porosity,N_membrane,B_coupling,D_classical,l_squared,l,D_ratio,E_bending_material
PQ_L024_s01,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4652815459.391935,0.34241601858926085,1772105481.053698,1752951.8495158541,6340248298.306765,0.2471224960896241,17.91565595282032,162.86960045361968,1457273.936180896,0.002896722097748618,0.05382120490799716,1.2028979631035237,5596862238.799146
PQ_L024_s02,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4827686726.744845,0.34854047430068824,1737279596.2865844,1744678.557573013,6310324643.999614,0.11418042445759646,203.9212893826376,1853.8299135236941,1519327.423943303,0.0022519956363517067,0.04745519609433414,1.1483229553277117,5543743489.452007
PQ_L024_s03,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,5069028503.403543,0.34396536377388254,1680760770.213472,1792781.1207234769,6484306715.579706,0.13416743532077757,78.45386186461783,713.2169299066205,1589547.8595494984,0.0020992608176277046,0.0458176910988289,1.127856018900606,5717134307.542418
PQ_L024_s04,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4110450559.880441,0.36763968318293105,1327165382.1458032,1148746.7171906643,4154899874.098179,0.09872545443872971,-57.32091321847463,-521.0992139006725,1314064.9987117145,-0.0021625858335337354,0.0,0.874193223559622,3593328025.2243357
PQ_L024_s05,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,5107603324.567385,0.34401487674822834,1790923110.9934323,1560340.4174157102,5643592366.231591,0.10444918972328499,2.9974035896433797,27.249123689864756,1601706.0482418195,-0.0004009961726134207,0.0,0.9741740184651759,4975694455.419901
PQ_L024_s06,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4261354663.7285914,0.36200608294636305,1394312435.0999897,1017719.9923702053,3680989555.7371435,0.10840209750399543,-2.9432406113291343,-26.756732975249,1355863.0227200107,-0.00421034667235812,0.0,0.7506067908899432,3198601748.985211
PQ_L024_s07,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4323940778.215657,0.3574807033940751,1632518006.365428,1472467.5302608635,5325765083.408795,0.1279987954756998,-5.744921814863877,-52.22656223630304,1370640.681662268,0.0010828837573132342,0.03290719917150705,1.0742914244126354,4645172497.705178
PQ_L024_s08,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,3306597932.5836926,0.37835762394546146,1352412182.5769274,1052216.7731696721,3805760898.327808,0.12377843902252439,-5.895443833453283,-53.59494423089417,1066946.3601499782,-0.0001890858419351184,0.0,0.986194632147922,3260949131.7854548
PQ_L024_s09,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,3413655728.115874,0.351372278806257,965470635.6125305,1102510.1625930918,3987666965.397468,0.10496260027114068,-65.74958790065277,-597.7235296083978,1076745.1619110932,0.0004633067263969588,0.021524561003582833,1.023928596657234,3495339719.160615
PQ_L024_s10,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,5181472909.432695,0.34348118828273233,1894939078.581568,1470332.1448405846,5318041611.836605,0.1414568201428662,12.115788030914088,110.14352815058861,1624195.070900998,-0.0014096660865820696,0.0,0.9052681978802828,4690622643.087642
PQ_L032_s01,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4023339893.638201,0.36439002628910405,1377976997.008481,3704799.8191419295,4239806921.9306135,0.14138786686750848,-7.229857310503104,-65.72597590617126,4053929.1224261294,-0.002474254548360781,0.0,0.9138787845715323,3676844971.916238
PQ_L032_s02,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4700012466.919166,0.35547025119041287,1641588945.5668993,4452515.097121992,5095499149.843589,0.09798449625517103,36.974173877690966,336.12885525490344,4700940.12080803,-0.0014778520703891346,0.0,0.9471541825035337,4451636465.8612385
PQ_L032_s03,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4458088024.619812,0.3526446848668752,1622414771.7914703,4595777.603160257,5259450076.858814,0.12958320014216185,1.5293762787021492,13.903420790811216,4448779.2671044525,0.000884811116432241,0.029745774766044352,1.0330423982018513,4605393944.348205
PQ_L032_s04,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4507481067.354419,0.3559742812996774,1703995739.0619702,4883416.2056154795,5588626333.941054,0.10191139924645165,-6.715284044561498,-61.04803709953603,4510221.959782729,0.0021387817900100476,0.046246965197838094,1.0827440975545088,4880448520.516694
PQ_L032_s05,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4495013171.540362,0.35410746129341836,1654437361.6639013,4336109.894004899,4962283966.832998,0.10579345735474732,-35.797236980874516,-325.42942886223244,4490929.497092991,-0.0009138515736169002,0.0,0.9655261559576235,4340052788.496252
PQ_L032_s06,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4448941754.153381,0.3501565705778314,1554312994.159601,4826781.925164674,5523813543.508158,0.11815854506919443,-6.300689086945541,-57.27899200987709,4430803.813196778,0.00248789900375073,0.04987884324792156,1.0893693624593597,4846540842.340894
PQ_L032_s07,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4333631125.938803,0.3534667014493019,1611493930.6427288,4287784.629855871,4906980090.930028,0.11516583690186633,-54.81479335052486,-498.31630588676836,4327450.772517858,-0.00024037612991751627,0.0,0.9908338315680232,4293908333.1163893
PQ_L032_s08,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4439913791.216234,0.35405642644755336,1603342247.3150933,4240085.468973706,4852392733.353087,0.11639882591649475,-115.05217698020058,-1045.9288873056616,4435696.879667839,-0.0011914285211150467,0.0,0.955900636134365,4244116417.405339
PQ_L032_s09,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4481372613.462238,0.3565762387125523,1533218179.7260969,4010802.3744640546,4589999055.249086,0.1005462538407671,-33.539984370118034,-304.90895047143573,4486301.140776823,-0.0030286248240303814,0.0,0.8940109566005563,4006396217.0449104
PQ_L032_s10,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4475896303.193201,0.35541034170421476,1658785075.3295403,4127980.4503104147,4724098720.905778,0.10842940523904443,-18.456339588917793,-167.7849062629581,4476561.498009725,-0.002052171703595958,0.0,0.9221319649346292,4127367052.9071894
PQ_L040_s01,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4310462461.307908,0.3602533876085342,1540282339.8175843,9354430.812931117,4384889443.5614605,0.10690152773317718,0.9891703056510848,89.92457372827337,10567074.65143645,-0.004920542029687828,0.0,0.8852431842770704,3815807514.95499
PQ_L040_s02,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4564673513.53686,0.3530154014175654,1731418302.9430847,11131489.737894576,5217885814.638082,0.10653437388113562,26.47025445647584,240.63867818097881,11124276.036151452,2.603971311721046e-05,0.005102912219234273,1.0006484648277048,4567633543.760345
PQ_L040_s03,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,3674467396.335382,0.3667802765792983,1318403560.209592,11050423.021078773,5179885791.130673,0.1025950897355371,-8.987581866196717,-81.70529013542604,9057325.606519932,0.009448441446117176,0.09720309380939053,1.2200536340577297,4483047300.125627
PQ_L040_s04,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4666296818.412348,0.349892179452271,1738638782.4742372,12816353.151356721,6007665539.6984625,0.10270436664304816,-7.514563080134069,-68.31421018956829,11343487.789254522,0.005294606680772777,0.072764047996059,1.1298423720698512,5272179866.097007
PQ_L040_s05,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4788513051.733416,0.35183768654804853,1715385273.7927394,12574197.066966806,5894154875.14069,0.09809651784276685,-4.596338963051263,-41.78489989051822,11658725.288651861,0.003335518091406749,0.057753944379641715,1.0785224589866638,5164518871.445257
PQ_L040_s06,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4162433150.7622085,0.3596927402994232,1513045278.8789234,10323184.541056558,4838992753.620261,0.11752187874916409,2.187215841274881,19.883780482968525,10199450.778342621,0.0005111122765176616,0.022607792384876098,1.012131414269548,4212929351.683404
PQ_L040_s07,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4480872492.90046,0.3571708603669592,1600935114.5721166,10477203.231723096,4911189014.8702,0.0989396862697105,-61.2775561880961,-557.0686956375902,10956988.945757695,-0.0018730682370707407,0.0,0.9562119012431457,4284663605.664463
PQ_L040_s08,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4821528561.408686,0.3512636394185939,1727747405.2746835,12436312.915024748,5829521678.91785,0.10072132181873139,11.018329096229932,143.09518384329735,11733704.106660236,0.002541636027854463,0.05041464100689861,1.0598795403376247,5110239475.390566
PQ_L040_s09,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4861220304.793119,0.35248301351161204,1750894503.6655636,12518973.021077601,5868268603.630124,0.09986691174747409,14.310702327691686,260.19458918610394,11841890.40236316,0.002416916814865711,0.049162148192137725,1.0571769029866485,5139169826.557001
PQ_L040_s10,0.4,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4558168373.301269,0.3538524954828332,1690753644.6386383,11917850.696168846,5586492513.829145,0.09922041997533326,33.18899862838629,301.71817098385753,11115936.611112708,0.0029643366716929687,0.05444572225338708,1.0721409372067179,4886998911.697243
