run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,nu_eff,G_eff,D_rve,E_bending,porosity,N_membrane,B_coupling,D_classical,l_squared,l,D_ratio,E_bending_material
PQ_L024_s01,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4652815459.391938,0.342416018589261,1772105481.0536973,1752951.8495158553,6340248298.306769,0.2471224960896241,17.91565595282032,162.86960045361968,1457273.9361808968,0.0028967220977486213,0.053821204907997196,1.2028979631035237,5596862238.799149
PQ_L024_s02,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4827686726.744846,0.348540474300689,1737279596.2865832,1744678.5575730132,6310324643.999615,0.11418042445759646,203.9212893826376,1853.8299135236941,1519327.4239433042,0.0022519956363516985,0.04745519609433406,1.148322955327711,5543743489.452004
PQ_L024_s03,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,5069028503.403517,0.34396536377388265,1680760770.2134767,1792781.120723477,6484306715.579707,0.13416743532077757,78.45386186461783,713.2169299066205,1589547.85954949,0.0020992608176277875,0.0458176910988298,1.1278560189006122,5717134307.542418
PQ_L024_s04,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4110450559.8804526,0.3676396831829303,1327165382.1458042,1148746.7171906647,4154899874.0981803,0.09872545443872971,-57.32091321847463,-521.0992139006725,1314064.9987117173,-0.0021625858335337644,0.0,0.8741932235596205,3593328025.224339
PQ_L024_s05,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,5107603324.567389,0.3440148767482281,1790923110.993428,1560340.4174157102,5643592366.231591,0.10444918972328499,2.9974035896433797,27.249123689864756,1601706.0482418204,-0.00040099617261343075,0.0,0.9741740184651754,4975694455.419902
PQ_L024_s06,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4261354663.7285757,0.36200608294636294,1394312435.099989,1017719.9923702053,3680989555.7371435,0.10840209750399543,-2.9432406113291343,-26.756732975249,1355863.0227200056,-0.004210346672358058,0.0,0.750606790889946,3198601748.9852114
PQ_L024_s07,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4323940778.215658,0.35748070339407423,1632518006.36543,1472467.5302608642,5325765083.408797,0.1279987954756998,-5.744921814863877,-52.22656223630304,1370640.681662267,0.0010828837573132499,0.032907199171507286,1.0742914244126367,4645172497.705185
PQ_L024_s08,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,3306597932.583689,0.37835762394546113,1352412182.576924,1052216.7731696721,3805760898.327808,0.12377843902252439,-5.895443833453283,-53.59494423089417,1066946.3601499766,-0.00018908584193509797,0.0,0.9861946321479236,3260949131.7854557
PQ_L024_s09,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,3413655728.115867,0.35137227880625616,965470635.6125283,1102510.1625930918,3987666965.397468,0.10496260027114068,-65.74958790065277,-597.7235296083978,1076745.1619110904,0.00046330672639701,0.021524561003584023,1.0239285966572367,3495339719.1606174
PQ_L024_s10,0.24,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,5181472909.432705,0.3434811882827321,1894939078.5815637,1470332.144840585,5318041611.836608,0.1414568201428662,12.115788030914088,110.14352815058861,1624195.0709010009,-0.001409666086582094,0.0,0.9052681978802815,4690622643.087644
PQ_L032_s01,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4023339893.638197,0.36439002628910455,1377976997.0084834,3704799.819141932,4239806921.9306164,0.14138786686750848,-7.229857310503104,-65.72597590617126,4053929.1224261266,-0.0024742545483607404,0.0,0.9138787845715335,3676844971.9162383
PQ_L032_s02,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4700012466.919162,0.3554702511904133,1641588945.5669003,4452515.097121991,5095499149.843587,0.09798449625517103,36.974173877690966,336.12885525490344,4700940.120808027,-0.001477852070389123,0.0,0.947154182503534,4451636465.861237
PQ_L032_s03,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4458088024.619807,0.3526446848668752,1622414771.7914712,4595777.603160257,5259450076.858814,0.12958320014216185,1.5293762787021492,13.903420790811216,4448779.267104448,0.0008848111164322686,0.029745774766044817,1.0330423982018522,4605393944.348205
PQ_L032_s04,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4507481067.354411,0.355974281299677,1703995739.0619698,4883416.205615476,5588626333.941051,0.10191139924645165,-6.715284044561498,-61.04803709953603,4510221.959782721,0.002138781790010075,0.046246965197838386,1.0827440975545102,4880448520.516693
PQ_L032_s05,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4495013171.540361,0.3541074612934182,1654437361.6639001,4336109.894004898,4962283966.832998,0.10579345735474732,-35.797236980874516,-325.42942886223244,4490929.497092988,-0.00091385157361689,0.0,0.9655261559576239,4340052788.496252
PQ_L032_s06,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4448941754.153403,0.35015657057783117,1554312994.1595995,4826781.925164676,5523813543.508159,0.11815854506919443,-6.300689086945541,-57.27899200987709,4430803.8131968,0.0024878990037506096,0.04987884324792035,1.0893693624593548,4846540842.340897
PQ_L032_s07,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4333631125.938797,0.3534667014493016,1611493930.6427295,4287784.629855873,4906980090.930031,0.11516583690186633,-54.81479335052486,-498.31630588676836,4327450.772517852,-0.00024037612991746537,0.0,0.9908338315680251,4293908333.116393
PQ_L032_s08,0.32,0.033,Composite,9.43e9,0.33,0.2,0.04,0.1,0.1,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4439913791.216233,0.35405642644755414,1603342247.3150895,4240085.468973703,4852392733.353084,0.11639882591649475,-115.05217698020058,-1045.9288873056616,4435696.879667842,-0.0011914285211150836,0.0,0.9559006361343638,4244116417.405333
