run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
RAMP_p092_drn_s1,0.50,0.0084,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3569047294.0222836,0.13921054032285451,0.010053911630478751,0.12374326104619016,0.09345749346503447,0.10351140509551322,8102539887.564057,0.32350497422330304,3569047294.0222836,0.13921054032285451,MISSING,2.270224858363412
RAMP_p092_drn_s2,0.50,0.0084,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3559628638.587471,0.1385924970441473,0.010022714408081113,0.12374716069898986,0.09269293382043758,0.1027156482285187,8140136149.451226,0.32484424365439785,3559628638.587471,0.1385924970441473,MISSING,2.286793645047588
RAMP_p092_drn_s3,0.50,0.0084,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3596251362.2575603,0.13905777370226252,0.010011741107860295,0.12374853236151746,0.09381952168080447,0.10383126278866477,8127033438.118705,0.32576217921718775,3596251362.2575603,0.13905777370226252,MISSING,2.259862456615638
RAMP_p096_drn_s1,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2475004430.5210853,0.09964905755496949,0.009914246684447736,0.12376071916444403,0.09710997740701899,0.10702422409146672,8115171404.559456,0.3243537303956261,2475004430.5210853,0.09964905755496949,MISSING,3.278851263652443
RAMP_p096_drn_s2,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2497146220.0652184,0.10005514577918148,0.009936868322750536,0.12375789145965618,0.09711404547339003,0.10705091379614057,8088858084.475901,0.32700831162992167,2497146220.0652184,0.10005514577918148,MISSING,3.239240866025315
RAMP_p096_drn_s3,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2473372217.1216717,0.10127073831152988,0.010096675534952748,0.1237379155581309,0.0967125605474145,0.10680923608236725,8109301842.640772,0.32812314311661245,2473372217.1216717,0.10127073831152988,MISSING,3.2786419231626125
RAMP_p104_drn_s1,0.50,0.0092,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1900666024.6512794,0.07775992304341586,0.009933305125559122,0.12375833685930511,0.10574180227210206,0.11567510739766118,7986328450.311511,0.3293332830157647,1900666024.6512794,0.07775992304341586,MISSING,4.201857847054843
RAMP_p104_drn_s2,0.50,0.0092,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1939187960.7444975,0.08254629517081807,0.010254573242181375,0.12371817834472733,0.10439556696206151,0.11465014020424288,8004078700.2616415,0.32815624084706746,1939187960.7444975,0.08254629517081807,MISSING,4.127541456676895
RAMP_p104_drn_s3,0.50,0.0092,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1844573001.4274313,0.07736369885729455,0.010150500465230028,0.12373118744184625,0.1051116276101513,0.11526212807538133,7998999980.990728,0.3296008892902323,1844573001.4274313,0.07736369885729455,MISSING,4.336504966081941
RAMP_p110_drn_s1,0.50,0.0096,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1703498112.87765,0.07166848886271154,0.010075890153760092,0.12374051373077999,0.10973563897954564,0.11981152913330573,7982073475.894948,0.3280566328627911,1703498112.87765,0.07166848886271154,MISSING,4.685695520032691
RAMP_p110_drn_s2,0.50,0.0096,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1713496543.639906,0.07207509724259892,0.010033213763531834,0.12374584827955852,0.11078345086286558,0.12081666462639741,7961117386.98616,0.3271555932166741,1713496543.639906,0.07207509724259892,MISSING,4.646123983462906
RAMP_p110_drn_s3,0.50,0.0096,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1687469806.340145,0.07095301812281699,0.010142989122423285,0.12373212635969709,0.1104879378036545,0.12063092692607778,7954547278.435196,0.3280534445430138,1687469806.340145,0.07095301812281699,MISSING,4.713890138092219
