run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
SAL_ARC_z05,0.50,0.033,Composite,9.5805e+09,0.33,0.0322,0.031,0.012,0.0202,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,9075040500.952383,0.33034568985860907,0.014830982273267068,0.12314612721584162,0.016936333366629697,0.031767315639896765,9101960834.045305,0.3305892570633001,9075040500.952383,0.33034568985860907,MISSING,1.0029664146501711
SAL_ARC_z15,0.50,0.033,Composite,9.5570e+09,0.33,0.0289,0.032,0.012,0.0169,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,9107136688.74215,0.330148955644713,0.011831145700913481,0.12352110678738581,0.017115776816506667,0.02894692251742015,9144546148.231651,0.33058357866298815,9107136688.74215,0.330148955644713,MISSING,1.0041077081379206
SAL_ARC_z25,0.50,0.033,Composite,9.5335e+09,0.33,0.0276,0.034,0.012,0.0156,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,9087606642.868893,0.3301268527282701,0.01403637423418469,0.12324545322072691,0.01394954828612427,0.02798592252030896,9139022189.734486,0.3305339877370049,9087606642.868893,0.3301268527282701,MISSING,1.0056577654476209
SAL_ARC_z35,0.50,0.033,Composite,9.5100e+09,0.33,0.0277,0.036,0.012,0.0157,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,9045484833.984608,0.33014378668602246,0.01674200952166771,0.12290724880979154,0.012159070260992166,0.028901079782659878,9097892616.620274,0.33051577342907945,9045484833.984608,0.33014378668602246,MISSING,1.0057938058155562
SAL_ARC_z45,0.50,0.033,Composite,9.4865e+09,0.33,0.0289,0.037,0.012,0.0169,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,9006098595.734873,0.3302353034447261,0.013779313512031877,0.12327758581099602,0.016619441652991895,0.030398755165023772,9053801405.418312,0.3306545047551135,9006098595.734873,0.3302353034447261,MISSING,1.0052967230123409
SAL_ARC_z55,0.50,0.033,Composite,9.4631e+09,0.33,0.0322,0.039,0.012,0.0202,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8941468891.834763,0.3302100442517354,0.012522385715193707,0.12343470178560079,0.020596325531656134,0.03311871124684984,9004986640.639769,0.3311004008463437,8941468891.834763,0.3302100442517354,MISSING,1.0071037264205
SAL_ARC_z65,0.50,0.033,Composite,9.4396e+09,0.33,0.0389,0.040,0.012,0.0269,2.2e9,0.69,Gmsh,Lesicar,Z,No,0,8829408410.528423,0.3302524760529899,0.01229523545820399,0.1234630955677245,0.026150646784930842,0.03844588224313483,8930317843.09523,0.33139153077228245,8829408410.528423,0.3302524760529899,MISSING,1.0114287875104384
SAL_ARC_z75,0.50,0.033,Composite,9.4161e+09,0.33,0.0517,0.042,0.012,0.0397,2.2e9,0.67,Gmsh,Lesicar,Z,No,0,8613527507.583572,0.3305384766059838,0.012997049475554023,0.12337536881555575,0.038521457521436986,0.05151850699699101,8718122854.923624,0.33211734795073056,8613527507.583572,0.3305384766059838,MISSING,1.0121431489303265
SAL_ARC_z85,0.50,0.033,Composite,9.3926e+09,0.33,0.0544,0.044,0.012,0.0424,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0282,7985174526.239357,0.33092930337160165,0.012283220268562545,0.12346459746642968,0.07482427104964806,0.0871074913182106,8383316199.58223,0.3356662113345854,7985174526.239357,0.33092930337160165,MISSING,1.0498601091353201
SAL_ARC_z95,0.50,0.033,Composite,9.3692e+09,0.33,0.108,0.045,0.012,0.096,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.064,6596807426.515022,0.3339836220854785,0.012231449404332073,0.12347106882445849,0.16317095726787278,0.17540240667220486,7392817762.863539,0.3440427699997284,6596807426.515022,0.3339836220854785,MISSING,1.1206659956677005
SAL_LIN_z05,0.50,0.033,Composite,9.5805e+09,0.33,0.0223,0.031,0.012,0.0103,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,9229782918.145514,0.3301487090264488,0.012565001930404662,0.12342937475869942,0.009806425589772516,0.02237142752017718,9258771455.1659,0.33028248262162396,9229782918.145514,0.3301487090264488,MISSING,1.0031407604358056
SAL_LIN_z15,0.50,0.033,Composite,9.5570e+09,0.33,0.0252,0.032,0.012,0.0132,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,9141123632.209255,0.3301910689020563,0.01258384027178927,0.12342701996602634,0.013446876213624392,0.026030716485413663,9186652816.626553,0.33050121294808155,9141123632.209255,0.3301910689020563,MISSING,1.0049806988997363
SAL_LIN_z25,0.50,0.033,Composite,9.5335e+09,0.33,0.0287,0.034,0.012,0.0167,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,9083590977.799236,0.3301787079855364,0.014212893697134632,0.12322338828785817,0.014229852998312253,0.028442746695446885,9119683395.32762,0.3305688496713089,9083590977.799236,0.3301787079855364,MISSING,1.0039733644564792
SAL_LIN_z35,0.50,0.033,Composite,9.5100e+09,0.33,0.0331,0.036,0.012,0.0211,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,8997983158.512466,0.33019510148428494,0.012049208948734957,0.12349384888140813,0.020794235203311473,0.03284344415204643,9050476490.753664,0.3308009883004517,8997983158.512466,0.33019510148428494,MISSING,1.0058338998102632
SAL_LIN_z45,0.50,0.033,Composite,9.4865e+09,0.33,0.0388,0.037,0.012,0.0268,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,8876383452.479124,0.33036054138206417,0.012614144438821251,0.12342323194514734,0.02634237393990735,0.0389565183787286,8952521357.265892,0.33111929102832377,8876383452.479124,0.33036054138206417,MISSING,1.0085775817588754
SAL_LIN_z55,0.50,0.033,Composite,9.4631e+09,0.33,0.0464,0.039,0.012,0.0344,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8708247438.018894,0.3303600887846287,0.013240077534324213,0.12334499030820947,0.03415360102882836,0.047393678563152575,8837242259.294731,0.332006600056039,8708247438.018894,0.3303600887846287,MISSING,1.0148129485518136
SAL_LIN_z65,0.50,0.033,Composite,9.4396e+09,0.33,0.0572,0.040,0.012,0.0452,2.2e9,0.69,Gmsh,Lesicar,Z,No,0,8552681955.918424,0.3303951662844388,0.014027912663377995,0.12324651091707775,0.04294579864713146,0.056973711310509455,8688683905.693607,0.3326149878720345,8552681955.918424,0.3303951662844388,MISSING,1.0159016727707348
SAL_LIN_z75,0.50,0.033,Composite,9.4161e+09,0.33,0.0493,0.042,0.012,0.0373,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0248,7988570733.733352,0.33054203264537363,0.012463524526729941,0.12344205943415876,0.076908024183453,0.08937154871018294,8391906295.893932,0.3359525659933526,7988570733.733352,0.33054203264537363,MISSING,1.0504890769080149
SAL_LIN_z85,0.50,0.033,Composite,9.3926e+09,0.33,0.0674,0.044,0.012,0.0554,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0369,7640713528.385363,0.33134423285151837,0.0125638308030247,0.12342952114962191,0.0939512674804881,0.1065150982835128,8172234364.048241,0.3375218438030272,7640713528.385363,0.33134423285151837,MISSING,1.0695642931367955
SAL_LIN_z95,0.50,0.033,Composite,9.3692e+09,0.33,0.108,0.045,0.012,0.096,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.064,6450340835.609731,0.33509070055730583,0.013618954458088695,0.12329763069273891,0.1714863780201008,0.1851053324781895,7340930999.282102,0.34510110373647473,6450340835.609731,0.33509070055730583,MISSING,1.13806869844083
