run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
SEED_top_s1,0.50,0.033,Composite,9.5535e+09,0.33,0.035,0.035,0.015,0.02,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9005587023.8991,0.33036551935550673,0.016488535924624514,0.12293893300942194,0.018470841423194884,0.0349593773478194,9036864219.93833,0.33051958928271696,9005587023.8991,0.33036551935550673,MISSING,1.0034730879792986
SEED_top_s2,0.50,0.033,Composite,9.5535e+09,0.33,0.035,0.035,0.015,0.02,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9001678983.834084,0.3302816277467261,0.015890082613841172,0.12301373967326985,0.019035584276713063,0.034925666890554236,9046355819.160128,0.33078623086107667,9001678983.834084,0.3302816277467261,MISSING,1.0049631669165584
SEED_top_s3,0.50,0.033,Composite,9.5535e+09,0.33,0.035,0.035,0.015,0.02,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8997693596.535542,0.3303735700953881,0.015335887603107778,0.12308301404961153,0.019972849732325493,0.03530873733543327,9046448319.185186,0.3308107808255829,8997693596.535542,0.3303735700953881,MISSING,1.005418580009039
SEED_top_s4,0.50,0.033,Composite,9.5535e+09,0.33,0.035,0.035,0.015,0.02,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9001481421.99357,0.330407049754216,0.015717307947827663,0.12303533650652154,0.019372130215018046,0.03508943816284571,9046114978.802263,0.3306600068830278,9001481421.99357,0.330407049754216,MISSING,1.004958467913919
SEED_top_s5,0.50,0.033,Composite,9.5535e+09,0.33,0.035,0.035,0.015,0.02,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9016712055.803429,0.3303872459340081,0.015776755962512823,0.1230279055046859,0.018956695922341282,0.034733451884854105,9032598994.63094,0.3305900266141252,9016712055.803429,0.3303872459340081,MISSING,1.0017619436807108
SEED_mid_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8536456247.089921,0.3308724500943193,0.012289755004456282,0.12346378062444296,0.04913793646827358,0.06142769147272986,8630504546.810629,0.3324515630067497,8536456247.089921,0.3308724500943193,MISSING,1.0110172531784216
SEED_mid_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8520008079.409568,0.330731365405624,0.013844557817143555,0.12326943027285706,0.04792657570490988,0.061771133522053434,8632181465.869694,0.3323896552289997,8520008079.409568,0.330731365405624,MISSING,1.0131658779445547
SEED_mid_s3,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8529063957.227765,0.3307116454324514,0.013490707219453002,0.12331366159756837,0.04791200654178329,0.061402713761236294,8630398629.385998,0.3323891928618352,8529063957.227765,0.3307116454324514,MISSING,1.0118811012165478
SEED_mid_s4,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8488142464.361962,0.33092564813066483,0.012485502203775312,0.12343931222452809,0.05060269621741931,0.06308819842119462,8609569651.095903,0.33286531435152417,8488142464.361962,0.33092564813066483,MISSING,1.0143055076235774
SEED_mid_s5,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8542370079.618004,0.33087442366869235,0.013189984192154114,0.12335125197598074,0.04818242191005595,0.061372406102210064,8618900197.20484,0.33240565289465857,8542370079.618004,0.33087442366869235,MISSING,1.008958885751091
SEED_base_s1,0.50,0.033,Composite,9.3922e+09,0.33,0.061,0.035,0.013,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7798053508.799455,0.33077816485851186,0.021331189370608072,0.12233360132867399,0.07191590261676417,0.09324709198737224,8310341548.67822,0.3350830185273558,7798053508.799455,0.33077816485851186,MISSING,1.065694347865232
SEED_base_s2,0.50,0.033,Composite,9.3922e+09,0.33,0.061,0.035,0.013,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7711492493.377942,0.3311783076167665,0.013734393813739088,0.12328320077328261,0.09089136975543788,0.10462576356917697,8200731855.280626,0.3369231475141367,7711492493.377942,0.3311783076167665,MISSING,1.0634428889508492
SEED_base_s3,0.50,0.033,Composite,9.3922e+09,0.33,0.061,0.035,0.013,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7591521042.350886,0.3304415490589069,0.01365142235349559,0.12329357220581305,0.09571013739484258,0.10936155974833817,8178489928.005537,0.3375498724946028,7591521042.350886,0.3304415490589069,MISSING,1.077319009244672
SEED_base_s4,0.50,0.033,Composite,9.3922e+09,0.33,0.061,0.035,0.013,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7603288002.441585,0.3324500842149757,0.016910627412290324,0.12288617157346371,0.08947492523770428,0.10638555264999461,ERROR,,7603288002.441585,0.3324500842149757,MISSING,
SEED_base_s5,0.50,0.033,Composite,9.3922e+09,0.33,0.061,0.035,0.013,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7664408037.828542,0.33169879927929735,0.01895903137144228,0.12263012107856971,0.08321500846399488,0.10217403983543716,8233647026.629813,0.3359464467994534,7664408037.828542,0.33169879927929735,MISSING,1.07427044410889
