run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,G_xz,E_eff,nu_eff,G_eff,D_rve,E_bending,porosity,N_membrane,B_coupling,D_classical,l_squared,l,D_ratio,E_bending_material
SI2_L240_s1,0.24,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,4952898371.761578,0.35442205654134573,1867559268.7565238,4952898371.761578,0.35442205654134573,1867559268.7565238,1460944.1243254666,5284086097.820699,0.015477497698044296,-3.7717143279065724,-34.28831225767272,1566103.4128939658,-0.0009775765212628059,0.0,0.9328529088802776,4620325653.486178
SI2_L240_s2,0.24,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,5324088196.569759,0.3430337042425464,1842000101.627624,5324088196.569759,0.3430337042425464,1842000101.627624,1587376.8568169312,5741380413.834388,0.020537960411273093,4.888308429896878,44.439167785315334,1668318.4808069936,-0.0007628862378256971,0.0,0.951483110136795,5065779995.914795
SI2_L240_s3,0.24,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,5862412774.010914,0.3426644711274646,2218948267.8307285,5862412774.010914,0.3426644711274646,2218948267.8307285,1833748.8814259581,6632482933.398287,0.018372936830766684,11.852175425021716,107.74704990221784,1836477.0747989723,-2.1345458552668716e-05,0.0,0.9985144419113902,5853703819.2957115
SI2_L240_s4,0.24,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,4661019068.734555,0.3529251542611964,1715396286.4676797,4661019068.734555,0.3529251542611964,1715396286.4676797,1194604.396003944,4320762427.676304,0.049837702950538354,-8.96607714529521,-81.50979267162576,1472028.8154212213,-0.0028077454804083185,0.0,0.8115360130787302,3782584831.9247766
SI2_L320_s1,0.32,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,4768787848.321385,0.3598381151753566,1856177395.2593713,4768787848.321385,0.3598381151753566,1856177395.2593713,4751934.173516414,5438157089.442917,0.02187331693875849,1.1067686503305363,10.061533239342522,4786848.104482039,-0.000183687377056187,0.0,0.9927062797474325,4734005643.811885
SI2_L320_s2,0.32,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,5451304568.174025,0.3412809483226281,1945994426.1344795,5451304568.174025,0.3412809483226281,1945994426.1344795,4792543.188910122,5484630419.437548,0.05091163437378876,-5.027236829683135,-45.702153244761284,5391369.953786423,-0.003005105023533611,0.0,0.8889286452220296,4845820784.479596
SI2_L320_s3,0.32,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,5698480226.667066,0.3406891524189699,2082334235.5168002,5698480226.667066,0.3406891524189699,2082334235.5168002,5236970.566878053,5993237190.488495,0.02520524070800445,0.016560838521220873,0.15055307828143183,5633254.809596582,-0.0018584736502868257,0.0,0.9296527041447805,5297607552.236599
SI2_L320_s4,0.32,0.033,Composite,9392200000.0,0.33,0.09,0.04,0.012,0.078,2200000000.0,0.65,Gmsh,Lesicar,Z,Yes,0.052,4840412404.712519,0.3526362547181981,1742279566.7017915,4840412404.712519,0.3526362547181981,1742279566.7017915,4967220.467894171,5684532700.989729,0.01166226092141065,-2.707095980142535,-24.609963589192876,4830272.533122437,0.0007676048098508889,0.0277056819055386,1.028352009919243,4977647825.224155
SI2_L400_s1,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,5270726661.84954,0.3507854110187018,1974003140.4764118,5270726661.84954,0.3507854110187018,1974003140.4764118,12908930.774163634,6051061300.389202,0.014636052324304094,2.985389293398478,27.139902814319278,12821964.83969272,0.00027534763207723946,0.01659360214291157,1.0067825747113028,5306475759.216391
SI2_L400_s2,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,5369126186.524404,0.34860146104590073,1999577245.7304976,5369126186.524404,0.34860146104590073,1999577245.7304976,13490021.920288607,6323447775.135283,0.019977018228903853,18.022996871992653,163.84542699683763,13038628.883993307,0.001410901470733113,0.03756196840865922,1.034619670542924,5555003566.205264
