run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
SZCH_L30_s1,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7762317246.942957,0.33063453293193024,0.012833990356785452,0.02665348226036679,0.09133128803554506,0.10416527839233052,8255569245.320617,0.3372830273255133,7762317246.942957,0.33063453293193024,MISSING,1.0635444265785345
SZCH_L30_s2,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7903992467.4554,0.3301952413755836,0.01151830198206849,0.02668900584648415,0.08545767513614114,0.09697597711820963,8336690718.070549,0.3364211035282605,7903992467.4554,0.3301952413755836,MISSING,1.0547442640408349
SZCH_L30_s3,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7715213417.606993,0.32913241541652294,0.011734242879519852,0.02668317544225296,0.09778346428989404,0.10951770716941389,8203081385.256542,0.3373077715251205,7715213417.606993,0.32913241541652294,MISSING,1.063234539505567
SZCH_L30_s4,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7668615706.981382,0.331242597210387,0.01122672690140425,0.02669687837366208,0.09459576504254763,0.10582249194395188,8219404923.84526,0.33767437712917214,7668615706.981382,0.331242597210387,MISSING,1.0718238125249187
SZCH_L40_s1,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7798660745.014136,0.33009612444116543,0.011849657092876664,0.06324162194605591,0.09204435526704548,0.10389401235992214,8233538693.276722,0.33685609321420773,7798660745.014136,0.33009612444116543,MISSING,1.0557631576089026
SZCH_L40_s2,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7752856416.752726,0.33009932914729706,0.011680089818499217,0.06325247425161606,0.09160858762898708,0.1032886774474863,8263260849.39541,0.3373552523367165,7752856416.752726,0.33009932914729706,MISSING,1.0658343719019199
SZCH_L40_s3,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7507752600.022794,0.3301120838197613,0.011733211578424108,0.06324907445898087,0.10241533514395229,0.1141485467223764,8156907033.571906,0.338121500074498,7507752600.022794,0.3301120838197613,MISSING,1.0864645477991832
SZCH_L40_s4,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7766779733.703998,0.33070028284275454,0.011826128108598954,0.06324312780104968,0.0949504803037862,0.10677660841238515,8203269484.737021,0.3374234864618475,7766779733.703998,0.33070028284275454,MISSING,1.0561995789759395
SZCH_L50_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7829764596.400394,0.3312377310747021,0.012122202825059603,0.12348472464686755,0.08318588194332932,0.09530808476838892,8313944315.00011,0.33637516307963944,7829764596.400394,0.3312377310747021,MISSING,1.0618383493703385
SZCH_L50_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7928767357.548509,0.331662433231636,0.01181980052804299,0.12352252493399463,0.0802921406666961,0.09211194119473909,8347209588.641994,0.3360943214386889,7928767357.548509,0.331662433231636,MISSING,1.0527751934473284
