run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
SKEL_c150_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0425,0.045,0.02,0.0225,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.1275,6543358316.51777,0.3328092939645573,0.0283230255160547,0.12145962181049316,0.14698307545551637,0.17530610097157107,7580754285.951205,0.34329920439323214,6543358316.51777,0.3328092939645573,MISSING,1.1585418250464259
SKEL_c150_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0425,0.045,0.02,0.0225,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.1275,6456642360.979953,0.33274009552383244,0.03704477591687705,0.12036940301039037,0.13652102358687745,0.1735657995037545,7597045556.45135,0.3424297505901868,6456642360.979953,0.33274009552383244,MISSING,1.1766248046141297
SKEL_c150_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0425,0.045,0.02,0.0225,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.1275,6383563183.225965,0.33211591371481397,0.027414889830515987,0.1215731387711855,0.1528758716167515,0.1802907614472675,7533603555.115873,0.34404883123809216,6383563183.225965,0.33211591371481397,MISSING,1.180156495499545
SKEL_c220_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.053,0.045,0.02,0.033,2.2e9,0.58,Gmsh,Lesicar,Z,Yes,0.187,5562499483.260632,0.3388844602491524,0.02107902185949917,0.1223651222675626,0.2197277208711692,0.24080674273066838,6929741746.058969,0.3517852859404806,5562499483.260632,0.3388844602491524,MISSING,1.2457963846851245
SKEL_c220_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.053,0.045,0.02,0.033,2.2e9,0.58,Gmsh,Lesicar,Z,Yes,0.187,5583987784.803344,0.3343883619974928,0.021049205580423447,0.12236884930244707,0.2195349290291082,0.24058413460953165,6931169424.273265,0.3516810930145528,5583987784.803344,0.3343883619974928,MISSING,1.2412579846854672
SKEL_c220_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.053,0.045,0.02,0.033,2.2e9,0.58,Gmsh,Lesicar,Z,Yes,0.187,5439301613.033253,0.3353456049003579,0.020342532789090484,0.12245718340136369,0.22664789609496339,0.24699042888405387,6891598396.402548,0.35227782786757156,5439301613.033253,0.3353456049003579,MISSING,1.2670005979976195
SKEL_c290_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.02,0.0435,2.2e9,0.53,Gmsh,Lesicar,Z,Yes,0.2465,4746450803.429286,0.34386441409364665,0.019984260359801942,0.12250196745502476,0.2785773178766946,0.29856157823649654,6443465237.160471,0.3592886453179628,4746450803.429286,0.34386441409364665,MISSING,1.357533345232421
SKEL_c290_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.02,0.0435,2.2e9,0.53,Gmsh,Lesicar,Z,Yes,0.2465,4682210437.514581,0.3492080007148447,0.023957198908920896,0.12200535013638489,0.2711286752803808,0.2950858741893017,6482426623.111941,0.35827587189942056,4682210437.514581,0.3492080007148447,MISSING,1.3844799821840035
SKEL_c290_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.02,0.0435,2.2e9,0.53,Gmsh,Lesicar,Z,Yes,0.2465,4907698438.675094,0.3451658708623057,0.02700152918052523,0.12162480885243435,0.2744119155995781,0.30141344478010335,6395178127.378859,0.35856231100845065,4907698438.675094,0.3451658708623057,MISSING,1.3030910939803653
SKEL_c360_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.074,0.045,0.02,0.054,2.2e9,0.49,Gmsh,Lesicar,Z,Yes,0.306,4426786542.299659,0.34238196153442024,0.0442239672549396,0.11947200409313255,0.2738150187916048,0.3180389860465444,6367483843.522932,0.3592346543679249,4426786542.299659,0.34238196153442024,MISSING,1.438398662930584
SKEL_c360_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.074,0.045,0.02,0.054,2.2e9,0.49,Gmsh,Lesicar,Z,Yes,0.306,4272502004.706683,0.35342167836055055,0.03139509827038367,0.12107561271620204,0.29782151060212847,0.32921660887251214,6236361092.049943,0.3617617866317867,4272502004.706683,0.35342167836055055,MISSING,1.4596508287602508
SKEL_c360_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.074,0.045,0.02,0.054,2.2e9,0.49,Gmsh,Lesicar,Z,Yes,0.306,4098826106.14492,0.3474253847632315,0.032399329866551696,0.12095008376668104,0.3195380287053311,0.3519373585718828,6004155512.599795,0.3647678249196875,4098826106.14492,0.3474253847632315,MISSING,1.4648475824818292
SKEL_c430_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0845,0.045,0.02,0.0645,2.2e9,0.44,Gmsh,Lesicar,Z,Yes,0.3655,3712245807.025116,0.3579824095434726,0.05019923061918874,0.11872509617260141,0.3416513829725041,0.3918506135916928,5648368014.280684,0.36865818155559416,3712245807.025116,0.3579824095434726,MISSING,1.5215501095298212
SKEL_c430_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0845,0.045,0.02,0.0645,2.2e9,0.44,Gmsh,Lesicar,Z,Yes,0.3655,3718499655.917006,0.3599060309858632,0.02016241167894184,0.12247969854013227,0.3685682184394956,0.38873063011843745,5683970550.157844,0.37124177218727716,3718499655.917006,0.3599060309858632,MISSING,1.528565571093522
SKEL_c430_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0845,0.045,0.02,0.0645,2.2e9,0.44,Gmsh,Lesicar,Z,Yes,0.3655,3656278756.5493307,0.3638513780235977,0.02826108929937199,0.1214673638375785,0.35345239411753937,0.38171348341691136,5773582994.271359,0.3691592727785794,3656278756.5493307,0.3638513780235977,MISSING,1.5790872027821716
SKEL_c500_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.095,0.045,0.02,0.075,2.2e9,0.40,Gmsh,Lesicar,Z,Yes,0.425,3328604732.4258065,0.36624139954985335,0.039619558402627986,0.1200475551996715,0.3899264559146163,0.42954601431724426,5363385292.467774,0.3750512668113674,3328604732.4258065,0.36624139954985335,MISSING,1.6113013480453322
SKEL_c500_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.095,0.045,0.02,0.075,2.2e9,0.40,Gmsh,Lesicar,Z,Yes,0.425,2844556377.7161727,0.37403933578856124,0.03436289779731716,0.12070463777533535,0.41647138167384234,0.4508342794711595,5099727602.6013565,0.37903131884786284,2844556377.7161727,0.37403933578856124,MISSING,1.7928024357512673
SKEL_c500_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.095,0.045,0.02,0.075,2.2e9,0.40,Gmsh,Lesicar,Z,Yes,0.425,3110725839.4848943,0.37025665739377656,0.038951110238221176,0.12013111122022235,0.4036021352996606,0.4425532455378818,5204259256.164181,0.37666890625268734,3110725839.4848943,0.37025665739377656,MISSING,1.6730047984639993
SKEL_p220_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.152,0.045,0.02,0.132,2.2e9,0.58,Gmsh,Lesicar,Z,Yes,0.088,5556111524.290877,0.34185814711447005,0.020143636539761145,0.12248204543252986,0.22703887772976117,0.2471825142695223,6594990635.480635,0.35286957519389023,5556111524.290877,0.34185814711447005,MISSING,1.1869795281552324
SKEL_p220_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.152,0.045,0.02,0.132,2.2e9,0.58,Gmsh,Lesicar,Z,Yes,0.088,5563184479.761664,0.3398534750955092,0.03005465356296999,0.12124316830462875,0.21718937891270418,0.24724403247567417,6619128225.31142,0.35232553977782594,5563184479.761664,0.3398534750955092,MISSING,1.1898092269618559
SKEL_p220_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.152,0.045,0.02,0.132,2.2e9,0.58,Gmsh,Lesicar,Z,Yes,0.088,5675338730.293068,0.3388373343575476,0.0286027595514875,0.12142465505606406,0.2102751428441927,0.2388779023956802,6677200414.146402,0.3507137211273357,5675338730.293068,0.3388373343575476,MISSING,1.1765289670739352
SKEL_p360_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.236,0.045,0.02,0.216,2.2e9,0.49,Gmsh,Lesicar,Z,Yes,0.144,5085830369.211967,0.34506639151667107,0.020174773335043694,0.12247815333311954,0.25276535251196874,0.27294012584701244,6472158297.046449,0.3571201428815142,5085830369.211967,0.34506639151667107,MISSING,1.2725863481855153
SKEL_p360_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.236,0.045,0.02,0.216,2.2e9,0.49,Gmsh,Lesicar,Z,Yes,0.144,5280801608.941041,0.33851706127195147,0.023838954438460513,0.12202013069519244,0.24059674448387725,0.26443569892233776,6592717744.831295,0.355605992103071,5280801608.941041,0.33851706127195147,MISSING,1.2484312483296134
