run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,G_xy,E_eff,nu_eff,G_eff
SKLM_z955_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0477,0.045,0.02,0.0277,2.2e9,0.60,Gmsh,Lesicar,Z,Yes,0.1573,5988694675.476942,0.33676752378978303,0.019832026902226074,0.12252099663722174,0.18757113518483415,0.20740316208706022,2182822028.46603,5988694675.476942,0.33676752378978303,2182822028.46603
SKLM_z955_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0477,0.045,0.02,0.0277,2.2e9,0.60,Gmsh,Lesicar,Z,Yes,0.1573,5964291161.548421,0.3348222946061841,0.02239543087608964,0.1222005711404888,0.1873921180061373,0.20978754888222695,2149814912.3167596,5964291161.548421,0.3348222946061841,2149814912.3167596
SKLM_z955_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0477,0.045,0.02,0.0277,2.2e9,0.60,Gmsh,Lesicar,Z,Yes,0.1573,6045494259.338133,0.3371097340191324,0.024423690803583087,0.12194703864955211,0.18364512180074133,0.20806881260432442,2086431505.0752409,6045494259.338133,0.3371097340191324,2086431505.0752409
SKLM_z970_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.02,0.0435,2.2e9,0.53,Gmsh,Lesicar,Z,Yes,0.2465,4760588674.579624,0.3480956407855873,0.020156301654609576,0.1224804622931738,0.28513753877696235,0.30529384043157193,1587162739.8955956,4760588674.579624,0.3480956407855873,1587162739.8955956
SKLM_z970_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.02,0.0435,2.2e9,0.53,Gmsh,Lesicar,Z,Yes,0.2465,4657431211.620046,0.3451504737423755,0.02586468917624596,0.12176691385296926,0.26810259352660415,0.2939672827028501,1706396298.6745489,4657431211.620046,0.3451504737423755,1706396298.6745489
SKLM_z970_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.02,0.0435,2.2e9,0.53,Gmsh,Lesicar,Z,Yes,0.2465,4886037484.555697,0.34704007823378236,0.0198612549553856,0.1225173431305768,0.27515733018343463,0.29501858513882023,1646627954.0593064,4886037484.555697,0.34704007823378236,1646627954.0593064
SKLM_z985_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0793,0.045,0.02,0.0593,2.2e9,0.47,Gmsh,Lesicar,Z,Yes,0.3357,3889451210.1649494,0.35487471463661774,0.02518734987291893,0.12185158126588513,0.34004266308940245,0.3652300129623214,1326698680.073954,3889451210.1649494,0.35487471463661774,1326698680.073954
SKLM_z985_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0793,0.045,0.02,0.0593,2.2e9,0.47,Gmsh,Lesicar,Z,Yes,0.3357,3933271358.7604346,0.3508753477162744,0.02445165957823625,0.12194354255272047,0.3407115182758731,0.36516317785410934,1317505526.8116143,3933271358.7604346,0.3508753477162744,1317505526.8116143
SKLM_z985_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0793,0.045,0.02,0.0593,2.2e9,0.47,Gmsh,Lesicar,Z,Yes,0.3357,3452620811.218413,0.3624992616185249,0.035565282266809106,0.12055433971664886,0.35220863669897184,0.38777391896578095,1234574216.3864899,3452620811.218413,0.3624992616185249,1234574216.3864899
SKLM_z995_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0898,0.045,0.02,0.0698,2.2e9,0.42,Gmsh,Lesicar,Z,Yes,0.3952,3234442729.0277395,0.3643971736371842,0.0200337815847913,0.12249577730190109,0.3916839973990758,0.4117177789838671,1129081844.9365194,3234442729.0277395,0.3643971736371842,1129081844.9365194
SKLM_z995_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0898,0.045,0.02,0.0698,2.2e9,0.42,Gmsh,Lesicar,Z,Yes,0.3952,3644031980.8957753,0.35908154508294665,0.02781874421655317,0.12152265697293085,0.3792761391883701,0.4070948834049233,1028328075.3074883,3644031980.8957753,0.35908154508294665,1028328075.3074883
SKLM_z995_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0898,0.045,0.02,0.0698,2.2e9,0.42,Gmsh,Lesicar,Z,Yes,0.3952,3400526613.3356647,0.35862502564651205,0.034867122102379966,0.1206416097372025,0.36600508872309234,0.4008722108254723,1149611583.2897234,3400526613.3356647,0.35862502564651205,1149611583.2897234
