run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,G_xy,E_eff,nu_eff,G_eff
STEEP_z05_s1,0.50,0.033,Composite,9.5193e+09,0.33,0.0333,0.031,0.0196,0.0137,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8840251993.935106,0.33059250512819477,0.020452935245543813,0.12244338309430702,0.02612999408762562,0.04658292933316943,3329414299.336584,8840251993.935106,0.33059250512819477,3329414299.336584
STEEP_z05_s2,0.50,0.033,Composite,9.5193e+09,0.33,0.0333,0.031,0.0196,0.0137,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8915334312.685207,0.33044310502899277,0.020544312150207134,0.12243196098122411,0.0208595159561753,0.041403828106382434,3356435850.42368,8915334312.685207,0.33044310502899277,3356435850.42368
STEEP_z05_s3,0.50,0.033,Composite,9.5193e+09,0.33,0.0333,0.031,0.0196,0.0137,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8837813999.12269,0.3305445827559411,0.02197487782531482,0.12225314027183565,0.02442441640857851,0.04639929423389333,3327155116.9248,8837813999.12269,0.3305445827559411,3327155116.9248
STEEP_z15_s1,0.50,0.033,Composite,9.5024e+09,0.33,0.0375,0.032,0.0188,0.0187,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,8713090100.977806,0.3306707150083963,0.021371797279272187,0.12232852534009098,0.03345966762651642,0.05483146490578861,3271498230.3766437,8713090100.977806,0.3306707150083963,3271498230.3766437
STEEP_z15_s2,0.50,0.033,Composite,9.5024e+09,0.33,0.0375,0.032,0.0188,0.0187,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,8780066107.451286,0.3308136059021876,0.018174202320551558,0.12272822470993106,0.03269651864442835,0.05087072096497991,3306893510.8117085,8780066107.451286,0.3308136059021876,3306893510.8117085
STEEP_z15_s3,0.50,0.033,Composite,9.5024e+09,0.33,0.0375,0.032,0.0188,0.0187,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,8696252084.992891,0.3308574701225358,0.018627067741538994,0.12267161653230763,0.03797343644623297,0.05660050418777196,3273575277.820668,8696252084.992891,0.3308574701225358,3273575277.820668
STEEP_z25_s1,0.50,0.033,Composite,9.4855e+09,0.33,0.0428,0.034,0.018,0.0248,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,8520906559.599843,0.3313861173456477,0.017460948968860635,0.12281738137889242,0.050238172215685495,0.06769912118454613,3205540004.406369,8520906559.599843,0.3313861173456477,3205540004.406369
STEEP_z25_s2,0.50,0.033,Composite,9.4855e+09,0.33,0.0428,0.034,0.018,0.0248,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,8503796624.773992,0.33160537862165357,0.0170537405881106,0.12286828242648618,0.052360409292873555,0.06941414988098416,3198067354.2059507,8503796624.773992,0.33160537862165357,3198067354.2059507
STEEP_z25_s3,0.50,0.033,Composite,9.4855e+09,0.33,0.0428,0.034,0.018,0.0248,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,8490030671.002761,0.33175043057216014,0.019929066085826008,0.12250886673927175,0.04969530566955882,0.06962437175538483,3200813163.5918584,8490030671.002761,0.33175043057216014,3200813163.5918584
STEEP_z35_s1,0.50,0.033,Composite,9.4686e+09,0.33,0.0495,0.036,0.0172,0.0323,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,8325774270.346792,0.3321434151613646,0.018353745945717037,0.12270578175678537,0.06188315989713544,0.08023690584285248,3136286966.938685,8325774270.346792,0.3321434151613646,3136286966.938685
