run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_eff,nu_eff,G_eff,D_rve
TOR_L240_s1,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6695343522.622123,0.33397420409747874,0.018711552546787802,0.013565331497593203,0.14054480126983218,0.15925635381661998,6695343522.622123,0.33397420409747874,MISSING,MISSING
TOR_L240_s2,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6902373566.176027,0.33308975384486816,0.01947560446818486,0.01355476924383181,0.12863933201270164,0.1481149364808865,6902373566.176027,0.33308975384486816,MISSING,MISSING
TOR_L240_s3,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6694422130.738335,0.32913433716941864,0.0204776357038845,0.013540917164029498,0.14724470245301588,0.16772233815690038,6694422130.738335,0.32913433716941864,MISSING,MISSING
TOR_L240_s4,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6564722477.155579,0.3378994776404626,0.012340055288496021,0.013653411075691829,0.14960210582805583,0.16194216111655185,6564722477.155579,0.3378994776404626,MISSING,MISSING
TOR_L240_s5,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6834386675.919047,0.33587762118072195,0.012887359017916156,0.013645845148936325,0.135174285317219,0.14806164433513516,6834386675.919047,0.33587762118072195,MISSING,MISSING
TOR_L240_s6,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,7048236911.906255,0.3313345207271117,0.011768636680189126,0.013661310366533064,0.13634452437495478,0.1481131610551439,7048236911.906255,0.3313345207271117,MISSING,MISSING
TOR_L320_s1,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6416726104.452478,0.3366367206382284,0.012607717303972255,0.032354870319383444,0.15744614890280714,0.1700538662067794,6416726104.452478,0.3366367206382284,MISSING,MISSING
TOR_L320_s2,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6531941540.268517,0.33606578392705,0.014534316925983615,0.032291739502969374,0.1491017230666983,0.16363603999268192,6531941540.268517,0.33606578392705,MISSING,MISSING
TOR_L320_s3,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6731175219.740363,0.33416247262154297,0.011912357845278776,0.03237765585812591,0.14347046583323084,0.1553828236785096,6731175219.740363,0.33416247262154297,MISSING,MISSING
TOR_L320_s4,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6373728926.171458,0.33811045204579754,0.012941315062748981,0.032343938988023846,0.16000708322093044,0.17294839828367942,6373728926.171458,0.33811045204579754,MISSING,MISSING
