run_id,L,alpha,R_RPK,K_rve,V_solid
TOR_L240_s1,0.24,0.11,35261.1,320556,0.0136447
TOR_L240_s2,0.24,0.11,41965.9,381508,0.0136042
TOR_L240_s6,0.24,0.11,37803.5,343668,0.0135943
TOR_L320_s1,0.32,0.11,168971,1.5361e+06,0.0323849
TOR_L320_s2,0.32,0.11,160446,1.4586e+06,0.0323393
TOR_L320_s3,0.32,0,-0,0,0.0323912
TOR_L320_s4,0.32,0.11,173137,1.57397e+06,0.0321369
TOR_L320_s5,0.32,0.11,163524,1.48658e+06,0.032147
TOR_L320_s6,0.32,0.11,170214,1.5474e+06,0.0323651
TOR_L400_s1,0.4,0.11,500393,4.54903e+06,0.0632415
TOR_L400_s2,0.4,0.11,519590,4.72354e+06,0.0628647
TOR_L400_s3,0.4,0.11,500287,4.54807e+06,0.0631618
TOR_L400_s4,0.4,0.11,486479,4.42253e+06,0.0632133
TOR_L400_s5,0.4,0.11,515488,4.68626e+06,0.0632436
TOR_L400_s6,0.4,0.11,499084,4.53712e+06,0.0632435
TOR_L480_s1,0.48,0.11,1.2308e+06,1.1189e+07,0.109231
TOR_L480_s2,0.48,0.11,1.22641e+06,1.11492e+07,0.108645
TOR_L480_s3,0.48,0.11,1.29685e+06,1.17895e+07,0.109126
TOR_L480_s4,0.48,0.11,1.27819e+06,1.16199e+07,0.109272
TOR_L480_s5,0.48,0.11,1.22785e+06,1.11623e+07,0.109152
TOR_L480_s6,0.48,0.11,1.21519e+06,1.10472e+07,0.10864
TOR_L640_s1,0.64,0,-0,0,0.258889
TOR_L640_s2,0.64,0,-0,0,0.258222
TOR_L640_s3,0.64,0,-0,0,0.259032
TOR_L640_s4,0.64,0,-0,0,0.258262
TOR_L640_s5,0.64,0,-0,0,0.259017
TOR_L640_s6,0.64,0,-0,0,0.258313
