run_id,L,alpha,R_RPK,K_rve,V_solid
TORL_L240_s1,0.24,0.11,33597.4,305431,0.0136381
TORL_L240_s4,0.24,0.11,32585.7,296234,0.013824
TORL_L240_s5,0.24,0.11,33077.2,300702,0.0136816
TORL_L240_s6,0.24,0.11,32328.4,293894,0.0136853
TORL_L240_s7,0.24,0.11,32328,293891,0.0136102
TORL_L240_s8,0.24,0.11,31672.2,287929,0.0136562
TORL_L360_s1,0.36,0,-0,0,0.0461935
TORL_L360_s2,0.36,0,-0,0,0.0461806
TORL_L360_s3,0.36,0,-0,0,0.0461979
TORL_L360_s4,0.36,0,-0,0,0.0461873
TORL_L360_s5,0.36,0,-0,0,0.0461361
TORL_L360_s6,0.36,0,-0,0,0.0461793
TORL_L360_s7,0.36,0,-0,0,0.046194
TORL_L360_s8,0.36,0,-0,0,0.0461652
