run_id,S11_bar,n_matrix,SCF_mean,SCF_p50,SCF_p90,SCF_p99,SCF_max,volfrac_SCF_gt2,volfrac_SCF_gt3
WBL_BASE_s1,5.972193e+07,297764,1.385,1.324,2.430,3.588,5.183,0.0586,0.0077
WBL_BASE_s2,5.957902e+07,224716,1.410,1.351,2.456,3.519,5.802,0.0595,0.0077
WBL_BASE_s3,5.947689e+07,219063,1.374,1.300,2.487,3.561,5.123,0.0575,0.0076
WBL_BASE_s4,5.869762e+07,247639,1.406,1.339,2.520,3.660,5.367,0.0636,0.0081
WBL_BASE_s5,5.887263e+07,227124,1.400,1.339,2.523,3.639,5.439,0.0624,0.0077
WBL_CHAN_s1,7.882182e+07,151440,1.177,1.142,1.876,2.678,3.675,0.0095,0.0003
WBL_CHAN_s2,7.759505e+07,151607,1.199,1.160,1.943,2.897,3.707,0.0112,0.0005
WBL_CHAN_s3,7.767702e+07,150890,1.186,1.162,1.946,2.645,3.522,0.0116,0.0002
WBL_CHAN_s4,7.952577e+07,139689,1.174,1.146,1.885,2.698,3.923,0.0091,0.0002
WBL_CHAN_s5,7.735822e+07,157447,1.210,1.159,1.964,3.069,4.226,0.0132,0.0012
WBL_CTRL_s1,9.157197e+07,27217,1.072,1.046,1.614,1.923,2.257,0.0001,0.0000
WBL_CTRL_s2,9.153329e+07,27337,1.071,1.045,1.612,1.942,2.323,0.0001,0.0000
WBL_CTRL_s3,9.163307e+07,39910,1.075,1.051,1.596,1.909,2.227,0.0001,0.0000
WBL_CTRL_s4,9.154762e+07,31681,1.068,1.043,1.597,1.895,2.336,0.0000,0.0000
WBL_CTRL_s5,9.175443e+07,28348,1.048,1.035,1.536,1.827,2.090,0.0000,0.0000
WBL_ELON_s1,8.526472e+07,137170,1.131,1.108,1.702,2.109,2.736,0.0023,0.0000
WBL_ELON_s2,8.513457e+07,122583,1.133,1.112,1.740,2.154,2.737,0.0026,0.0000
WBL_ELON_s3,8.498786e+07,109882,1.136,1.114,1.766,2.185,2.795,0.0033,0.0000
WBL_ELON_s4,8.510056e+07,117692,1.141,1.116,1.752,2.176,2.651,0.0032,0.0000
WBL_ELON_s5,8.501604e+07,122924,1.138,1.116,1.744,2.187,2.788,0.0032,0.0000
WBL_GAS_s1,7.615067e+07,170084,1.247,1.230,1.966,2.396,3.043,0.0149,0.0000
WBL_GAS_s2,7.607027e+07,166553,1.246,1.228,1.945,2.371,3.243,0.0142,0.0000
WBL_GAS_s3,7.625094e+07,202111,1.255,1.234,1.967,2.357,2.874,0.0147,0.0000
WBL_GAS_s4,7.614508e+07,179433,1.264,1.239,1.984,2.414,3.379,0.0147,0.0000
WBL_GAS_s5,7.584191e+07,190010,1.265,1.242,2.010,2.462,3.204,0.0164,0.0000
WBL_POCK_s1,8.513248e+07,104182,1.127,1.117,1.726,2.059,2.574,0.0015,0.0000
WBL_POCK_s2,8.497662e+07,108075,1.137,1.121,1.754,2.108,2.605,0.0020,0.0000
WBL_POCK_s3,8.506307e+07,101645,1.134,1.119,1.738,2.078,2.428,0.0017,0.0000
WBL_POCK_s4,8.464431e+07,98049,1.140,1.124,1.770,2.141,2.610,0.0024,0.0000
WBL_POCK_s5,8.519725e+07,86263,1.122,1.112,1.729,2.067,2.463,0.0014,0.0000
