run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
WBLL_chan_drn_s1,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3583595046.552686,0.1417007020357946,0.00995296224326947,0.12375587971959132,0.1099234720335984,0.11987643427686787,7960649710.979126,0.32379709822773894,3583595046.552686,0.1417007020357946,MISSING,2.2214144197562273
WBLL_chan_drn_s2,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3541141128.8246517,0.13994403628122026,0.010731270764823164,0.1236585911543971,0.10799770491329655,0.11872897567811971,7973784111.576078,0.32393364278109543,3541141128.8246517,0.13994403628122026,MISSING,2.2517555278071266
WBLL_chan_drn_s3,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3618315398.493696,0.1413434827337136,0.010074322613844222,0.12374070967326947,0.10959828597799129,0.11967260859183551,7939515616.175346,0.323968271488846,3618315398.493696,0.1413434827337136,MISSING,2.19425747669221
WBLL_chan_drn_s4,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3533877484.270552,0.13987142920546802,0.010933433822231775,0.12363332077222103,0.10881892304619176,0.11975235686842353,7940559303.57982,0.3227168642693986,3533877484.270552,0.13987142920546802,MISSING,2.2469820583547695
WBLL_chan_drn_s5,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3608516802.8551173,0.14151446297008916,0.010910757717658592,0.12363615528529268,0.1082588437946683,0.11916960151232689,7944654227.472857,0.3237174492488273,3608516802.8551173,0.14151446297008916,MISSING,2.201639804250577
WBLL_chan_und_s1,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5371996818.521249,0.31208710502670123,0.010115039326694886,0.12373562008416314,0.10927313956709786,0.11938817889379275,7983311275.677896,0.34707916677242157,5371996818.521249,0.31208710502670123,MISSING,1.4860975434969568
WBLL_chan_und_s2,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5255712357.872039,0.30467172209804505,0.010165757462922032,0.12372928031713475,0.10935848014517283,0.11952423760809486,7955988658.459823,0.34731237259885656,5255712357.872039,0.30467172209804505,MISSING,1.5137793160509048
WBLL_chan_und_s3,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4881743569.309292,0.31154165979327864,0.00993455422832068,0.12375818072145991,0.10913400478218313,0.11906855901050381,7996537678.529497,0.3471964588200836,4881743569.309292,0.31154165979327864,MISSING,1.6380495134571174
WBLL_chan_und_s4,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4955304318.87883,0.30936193883540875,0.009879925257145317,0.12376500934285684,0.10827080329875352,0.11815072855589884,7991734667.131752,0.3480743547623031,4955304318.87883,0.30936193883540875,MISSING,1.6127636473676625
WBLL_chan_und_s5,0.50,0.0067,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4811765961.9352665,0.31387440173027326,0.01006376077910942,0.12374202990261132,0.10925882243057186,0.11932258320968128,7975021106.676957,0.3475781146505964,4811765961.9352665,0.31387440173027326,MISSING,1.6574000418485537
WBLL_base_drn_s1,0.50,0.0111,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,400926030.89599735,0.01823548088660555,0.010153792569919107,0.12373077592876011,0.22653071898190186,0.23668451155182096,6885044630.157402,0.32039270529793956,400926030.89599735,0.01823548088660555,MISSING,17.17285508943026
WBLL_base_drn_s2,0.50,0.0111,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,399571836.97856474,0.017403851850655808,0.009912204711181483,0.12376097441110231,0.2262244796111697,0.2361366843223512,6882569589.266854,0.3189368107350322,399571836.97856474,0.017403851850655808,MISSING,17.224861595128072
WBLL_base_drn_s3,0.50,0.0111,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,386565151.55617315,0.018451096487059872,0.009979342019784676,0.12375258224752692,0.22689452943219096,0.23687387145197564,6868613134.308388,0.3224509552078245,386565151.55617315,0.018451096487059872,MISSING,17.76831953593801
WBLL_base_drn_s4,0.50,0.0111,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,370293429.36750233,0.016868435143829807,0.010516590340363008,0.12368542620745462,0.22623635260458874,0.23675294294495175,6869359548.956734,0.32655677853019227,370293429.36750233,0.016868435143829807,MISSING,18.55112460593826
WBLL_base_drn_s5,0.50,0.0111,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,397055466.00489974,0.017603574877698046,0.010031391719820038,0.1237460760350225,0.2266205505514956,0.23665194227131564,6883907151.9177475,0.3139841149400514,397055466.00489974,0.017603574877698046,MISSING,17.337394246658725
