run_id,S11_bar,n_matrix,SCF_mean,SCF_p50,SCF_p90,SCF_p99,SCF_max,volfrac_SCF_gt2,volfrac_SCF_gt3
WBLL_base_drn_s1,3.912271e+06,967836,2.979,1.196,6.476,30.838,113.757,0.3745,0.2519
WBLL_base_drn_s1,3.912271e+06,967836,2.979,1.196,6.476,30.838,113.757,0.3745,0.2519
WBLL_base_drn_s2,3.705918e+06,954188,2.982,1.171,6.267,32.836,203.193,0.3721,0.2482
WBLL_base_drn_s3,3.788885e+06,941812,2.991,1.199,6.372,31.427,225.498,0.3735,0.2517
WBLL_base_drn_s4,3.841499e+06,964525,3.018,1.170,6.851,30.820,164.851,0.3596,0.2448
WBLL_base_drn_s5,3.934345e+06,939440,2.851,1.182,6.121,29.971,101.805,0.3649,0.2454
WBLL_base_und_s1,1.925373e+07,982542,1.179,0.932,1.859,5.904,87.622,0.0769,0.0317
WBLL_base_und_s2,1.541561e+07,953511,1.238,0.900,2.075,7.629,25.415,0.1057,0.0541
WBLL_base_und_s3,1.920949e+07,940569,1.158,0.931,1.627,6.154,33.760,0.0784,0.0345
WBLL_base_und_s4,1.387872e+07,973708,1.237,0.872,1.919,8.645,32.353,0.1171,0.0661
WBLL_base_und_s5,1.498576e+07,965193,1.217,0.904,1.802,8.117,28.396,0.1054,0.0575
WBLL_chan_drn_s1,3.576558e+07,3349322,0.873,0.041,3.129,6.037,13.305,0.3591,0.0612
WBLL_chan_drn_s2,3.452226e+07,3359297,0.963,0.050,3.304,6.234,43.157,0.3510,0.0815
WBLL_chan_drn_s3,3.549206e+07,3311499,0.887,0.039,3.132,6.108,23.586,0.3545,0.0577
WBLL_chan_drn_s4,3.546281e+07,3312318,0.889,0.043,3.205,6.278,23.267,0.3559,0.0679
WBLL_chan_drn_s5,3.427521e+07,3400092,1.003,0.054,3.374,6.489,54.454,0.3467,0.0850
WBLL_chan_und_s1,5.698804e+07,3326916,0.968,0.703,1.816,3.145,33.470,0.0240,0.0022
WBLL_chan_und_s2,5.370379e+07,3354775,0.952,0.649,1.944,3.503,73.466,0.0411,0.0037
WBLL_chan_und_s3,5.287333e+07,3408720,0.989,0.654,2.015,3.541,172.966,0.0449,0.0038
WBLL_chan_und_s4,5.472676e+07,3337526,0.973,0.667,1.938,3.461,15.405,0.0407,0.0034
WBLL_chan_und_s5,4.835385e+07,3335152,0.924,0.549,2.167,4.013,37.669,0.1584,0.0066
