run_id,S11_bar,n_matrix,SCF_mean,SCF_p50,SCF_p90,SCF_p99,SCF_max,volfrac_SCF_gt2,volfrac_SCF_gt3
WBL_BASE_s1,3.589974e+07,84619,1.882,1.644,3.570,6.008,20.016,0.3015,0.0876
WBL_BASE_s2,4.073162e+07,94288,1.737,1.578,3.161,5.131,23.129,0.2448,0.0550
WBL_BASE_s3,3.764671e+07,79024,1.792,1.593,3.420,5.556,17.544,0.2928,0.0793
WBL_BASE_s4,3.667968e+07,82780,1.859,1.658,3.486,5.832,21.790,0.3037,0.0852
WBL_BASE_s5,3.839582e+07,87602,1.789,1.610,3.304,5.479,24.073,0.2856,0.0726
WBL_CHAN_s1,6.809174e+07,78173,1.269,1.247,1.943,2.824,5.435,0.0308,0.0020
WBL_CHAN_s2,6.912348e+07,74867,1.279,1.241,1.937,2.809,4.874,0.0285,0.0011
WBL_CHAN_s3,6.966227e+07,75115,1.238,1.214,1.909,2.802,4.393,0.0280,0.0018
WBL_CHAN_s4,7.050428e+07,67594,1.266,1.224,1.899,3.132,6.603,0.0225,0.0019
WBL_CHAN_s5,7.048558e+07,80217,1.236,1.216,1.855,2.616,3.616,0.0230,0.0005
WBL_CTRL_s1,9.044156e+07,17883,1.068,1.044,1.484,1.874,2.239,0.0001,0.0000
WBL_CTRL_s2,9.086399e+07,15872,1.070,1.042,1.470,1.875,2.401,0.0001,0.0000
WBL_CTRL_s3,9.004852e+07,16398,1.075,1.058,1.516,1.865,2.148,0.0001,0.0000
WBL_CTRL_s4,8.998093e+07,20713,1.068,1.055,1.482,1.810,2.059,0.0000,0.0000
WBL_CTRL_s5,9.089181e+07,18836,1.060,1.042,1.431,1.784,2.068,0.0000,0.0000
WBL_ELON_s1,7.236591e+07,72302,1.243,1.233,1.814,2.220,2.777,0.0144,0.0000
WBL_ELON_s2,7.270924e+07,71018,1.246,1.229,1.834,2.259,3.024,0.0145,0.0000
WBL_ELON_s3,7.297533e+07,72689,1.241,1.223,1.817,2.226,3.296,0.0132,0.0000
WBL_ELON_s4,7.165510e+07,68719,1.252,1.241,1.840,2.267,2.808,0.0164,0.0000
WBL_ELON_s5,7.180325e+07,67747,1.253,1.238,1.858,2.273,2.986,0.0186,0.0000
WBL_GAS_s1,6.914218e+07,79114,1.302,1.282,1.924,2.386,3.292,0.0290,0.0000
WBL_GAS_s2,6.920581e+07,81614,1.307,1.279,1.935,2.446,3.212,0.0300,0.0001
WBL_GAS_s3,6.948185e+07,70626,1.301,1.281,1.960,2.465,3.537,0.0291,0.0001
WBL_GAS_s4,6.834167e+07,74403,1.321,1.294,2.005,2.553,4.757,0.0342,0.0001
WBL_GAS_s5,7.135468e+07,76740,1.285,1.252,1.910,2.369,3.340,0.0248,0.0000
WBL_POCK_s1,7.887915e+07,52966,1.179,1.164,1.706,2.068,2.473,0.0036,0.0000
WBL_POCK_s2,7.997736e+07,53474,1.169,1.150,1.677,2.029,2.522,0.0027,0.0000
WBL_POCK_s3,8.024003e+07,52424,1.158,1.146,1.653,1.985,2.388,0.0017,0.0000
WBL_POCK_s4,7.951972e+07,51361,1.166,1.153,1.676,2.053,2.538,0.0028,0.0000
WBL_POCK_s5,7.967307e+07,52702,1.173,1.148,1.689,2.063,2.608,0.0036,0.0000
