# Effective stiffness matrix C_ij (Voigt)
# RVE: CTEN_z85, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.133571e+10,5.452366e+09,5.533255e+09,4.069299e+06,2.656434e+05,6.748222e+05
22,5.452366e+09,1.137327e+10,5.552041e+09,-1.886873e+07,8.982044e+05,-4.273493e+05
33,5.533255e+09,5.552041e+09,1.204055e+10,-5.323223e+06,1.654305e+06,-5.544919e+05
12,4.069299e+06,-1.886873e+07,-5.323223e+06,2.948965e+09,3.375328e+05,1.442215e+06
13,2.656434e+05,8.982044e+05,1.654305e+06,3.375328e+05,3.010827e+09,-3.845431e+06
23,6.748222e+05,-4.273493e+05,-5.544919e+05,1.442215e+06,-3.845431e+06,3.024152e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,7.838046e+07,2.384397e-03,2.201469e-03,1.364439e+05,-6.811652e+03,1.290171e+04
uty,-1.243158e-03,7.856136e+07,4.071602e-04,-2.568691e+05,-4.726929e+01,-6.340653e+03
utz,-3.169097e-03,-1.390287e-03,8.384780e+07,-3.665806e+03,1.498541e+04,-8.658279e+03
ss12,1.088771e+04,-2.831608e+05,-9.519668e+04,2.948987e+07,5.554710e+03,1.136717e+04
ss13,2.960348e+02,5.372546e+03,1.689050e+04,5.554711e+03,3.010830e+07,-6.873028e+04
ss23,8.438437e+03,-5.946880e+03,-7.829319e+03,1.136717e+04,-6.873028e+04,3.024156e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.632252e-03,-3.296675e-03,-3.078505e-03,6.703027e-06,-6.729709e-07,1.303359e-06
uty,-3.294016e-03,9.646625e-03,-3.093741e-03,-2.023363e-05,-8.552786e-07,-5.165829e-07
utz,-3.291606e-03,-3.304608e-03,9.819410e-03,1.085626e-06,1.264751e-06,-9.523908e-07
ss12,1.470382e-06,-1.058949e-05,-4.237203e-07,9.665705e-03,6.428939e-07,-1.215204e-06
ss13,-8.512525e-08,-4.305610e-07,9.331690e-08,8.249318e-07,9.705116e-03,-1.009382e-05
ss23,2.590473e-07,-1.915730e-07,-2.021886e-07,-8.278587e-07,-9.973120e-06,9.727233e-03
