# Effective stiffness matrix C_ij (Voigt)
# RVE: BTEN_z85_s3, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.136077e+10,5.469611e+09,5.537413e+09,-2.314589e+06,-1.222112e+05,-8.451956e+05
22,5.469611e+09,1.128673e+10,5.519516e+09,-5.366395e+06,1.917443e+06,3.516569e+06
33,5.537413e+09,5.519516e+09,1.182539e+10,-2.768801e+06,3.822873e+06,-7.088684e+05
12,-2.314589e+06,-5.366395e+06,-2.768801e+06,2.860914e+09,-1.267878e+05,1.732018e+06
13,-1.222112e+05,1.917443e+06,3.822873e+06,-1.267878e+05,2.975546e+09,-3.913669e+06
23,-8.451956e+05,3.516569e+06,-7.088684e+05,1.732018e+06,-3.913669e+06,2.947916e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,7.812242e+07,-2.480077e-03,-2.625259e-03,1.846870e+04,-2.319858e+04,-2.494388e+04
uty,-6.001766e-04,7.761187e+07,-6.447167e-04,-3.105850e+04,-6.312739e+03,6.557465e+04
utz,-4.357910e-04,-3.093666e-04,8.185390e+07,-1.120789e+04,5.790319e+04,-3.891815e+04
ss12,-3.535836e+03,-4.052845e+04,-2.600635e+04,2.860913e+07,-8.928702e+03,1.287469e+04
ss13,2.018871e+03,1.458320e+04,6.347811e+04,-8.928702e+03,2.975547e+07,-4.152091e+04
ss23,-1.616820e+04,5.154246e+04,-2.701916e+04,1.287469e+04,-4.152091e+04,2.947918e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.737252e-03,-3.313207e-03,-3.136817e-03,4.964022e-06,-1.695217e-06,-2.292349e-06
uty,-3.289385e-03,9.742102e-03,-3.126176e-03,5.619546e-07,-4.742410e-06,8.807827e-06
utz,-3.286427e-03,-3.298149e-03,9.779901e-03,-3.419326e-06,8.389833e-06,-8.158454e-06
ss12,2.006932e-06,1.401205e-06,-9.917144e-07,9.772687e-03,-2.445907e-06,-1.690125e-06
ss13,-2.246667e-07,-1.720722e-06,3.212454e-06,-2.813479e-06,9.777798e-03,-9.442435e-07
ss23,-9.229755e-07,3.166092e-06,-2.652563e-06,-1.368474e-06,-6.614372e-07,9.781875e-03
