# Effective stiffness matrix C_ij (Voigt)
# RVE: BTEN_z95_s1, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,7.748622e+09,4.060860e+09,4.084065e+09,-2.667375e+07,3.989306e+07,-2.642177e+06
22,4.060860e+09,7.702571e+09,4.018469e+09,-1.658216e+07,5.094250e+06,-1.743555e+07
33,4.084065e+09,4.018469e+09,8.078977e+09,-7.681863e+06,4.226470e+07,-2.775374e+07
12,-2.667375e+07,-1.658216e+07,-7.681863e+06,1.827066e+09,-1.323791e+07,1.914442e+07
13,3.989306e+07,5.094250e+06,4.226470e+07,-1.323791e+07,1.880067e+09,-1.112393e+07
23,-2.642177e+06,-1.743555e+07,-2.775374e+07,1.914442e+07,-1.112393e+07,1.831176e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,4.962491e+07,-9.294059e-04,-1.964332e-03,-1.872446e+05,2.340375e+05,1.157967e+05
uty,6.966140e-04,4.979396e+07,-1.765186e-03,-6.774941e+04,-2.419058e+05,-6.572694e+04
utz,-2.330717e-03,-1.161403e-03,5.293788e+07,8.050475e+04,2.428442e+05,-1.916301e+05
ss12,-2.883890e+05,-2.000136e+05,-9.001757e+04,1.827076e+07,-1.271586e+05,1.680522e+05
ss13,3.599088e+05,7.122318e+03,3.724301e+05,-1.271586e+05,1.880036e+07,-1.015550e+05
ss23,-2.390937e+04,-1.561763e+05,-2.536771e+05,1.680522e+05,-1.015550e+05,1.831132e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.539195e-03,-3.504315e-03,-3.242234e-03,8.613014e-06,-4.122427e-06,-3.382634e-06
uty,-3.624277e-03,9.616593e-03,-3.158659e-03,1.923138e-06,-1.076703e-05,8.748320e-06
utz,-3.550454e-03,-3.381238e-03,9.761605e-03,4.525273e-06,-1.444166e-05,5.681203e-06
ss12,-4.656776e-06,-9.952334e-06,5.290507e-07,9.622351e-03,3.488916e-06,-1.114249e-05
ss13,-1.801977e-06,-1.695566e-06,-2.921834e-06,2.044305e-06,9.708086e-03,6.300471e-06
ss23,-3.061962e-06,9.911993e-07,4.490526e-06,-1.449814e-05,3.939283e-06,9.664552e-03
