# Effective stiffness matrix C_ij (Voigt)
# RVE: BT80_z95_s3, L=0.8, applied_strain=0.0062499999999999995
,11,22,33,12,13,23
11,9.468258e+09,4.565349e+09,4.651919e+09,-1.767449e+06,-8.282704e+05,-1.512831e+06
22,4.565349e+09,9.466156e+09,4.652415e+09,2.438882e+06,-4.568422e+05,1.847505e+06
33,4.651919e+09,4.652415e+09,1.047754e+10,-3.083294e+05,-2.662430e+05,-3.476520e+06
12,-1.767449e+06,2.438882e+06,-3.083294e+05,2.436852e+09,-2.059631e+06,-8.923102e+05
13,-8.282704e+05,-4.568422e+05,-2.662430e+05,-2.059631e+06,2.569015e+09,-1.558148e+06
23,-1.512831e+06,1.847505e+06,-3.476520e+06,-8.923102e+05,-1.558148e+06,2.565828e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,4.099051e+07,-5.615447e-04,3.509032e-04,-1.794351e+04,1.741858e+03,-1.295313e+04
uty,-2.126566e-04,4.097642e+07,-3.075777e-04,1.142242e+04,-3.992427e+03,2.209383e+04
utz,6.690931e-04,3.296638e-05,4.620564e+07,-2.332440e+03,1.567962e+03,-1.943754e+04
ss12,-1.989082e+04,1.801301e+03,-8.518777e+03,1.523033e+07,-1.743586e+04,-6.584287e+03
ss13,6.363346e+02,-3.599289e+03,5.537074e+02,-1.743586e+04,1.605635e+07,-1.087093e+04
ss23,-1.596800e+04,9.918930e+03,-2.150391e+04,-6.584287e+03,-1.087093e+04,1.603642e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,5.899017e-03,-2.112240e-03,-1.837352e-03,-9.801809e-08,1.768469e-06,-2.320774e-06
uty,-2.109366e-03,5.904886e-03,-1.837759e-03,-7.347488e-06,-1.051781e-06,5.719115e-07
utz,-2.071450e-03,-2.073321e-03,6.041127e-03,2.572464e-07,-1.206558e-07,1.141727e-06
ss12,-6.766082e-07,1.941444e-07,1.569380e-07,5.936064e-03,-1.862905e-06,-5.708713e-07
ss13,9.645755e-07,-6.168176e-07,1.918612e-07,-1.780100e-06,5.971014e-03,3.280210e-08
ss23,-9.233816e-07,-2.474734e-10,4.030924e-07,-2.286800e-07,-9.141143e-07,5.975872e-03
