# Effective stiffness matrix C_ij (Voigt)
# RVE: CTEN_z95, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,9.922881e+09,4.988652e+09,5.023691e+09,7.642045e+06,3.336710e+06,-1.928750e+05
22,4.988652e+09,9.991704e+09,5.037159e+09,-8.621558e+06,-2.293346e+06,1.936157e+06
33,5.023691e+09,5.037159e+09,1.084545e+10,-4.640543e+06,-2.296772e+06,3.706927e+06
12,7.642045e+06,-8.621558e+06,-4.640543e+06,2.465996e+09,7.356559e+05,-2.083237e+06
13,3.336710e+06,-2.293346e+06,-2.296772e+06,7.356559e+05,2.589060e+09,-5.200790e+06
23,-1.928750e+05,1.936157e+06,3.706927e+06,-2.083237e+06,-5.200790e+06,2.599994e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,6.674427e+07,2.129588e-05,-3.486327e-04,1.404538e+05,4.637115e+04,-1.743063e+04
uty,1.200640e-03,6.723893e+07,-9.798827e-04,-5.992821e+04,-1.574605e+04,6.413104e+03
utz,-2.570416e-04,-6.642713e-04,7.459220e+07,-8.179950e+04,-3.538140e+04,3.079692e+04
ss12,1.090951e+05,-3.854172e+04,-5.745133e+04,2.465995e+07,9.220981e+03,-1.385713e+04
ss13,3.324048e+04,-1.252623e+04,-2.822963e+04,9.220981e+03,2.589065e+07,-7.193952e+04
ss23,3.066548e+02,1.789734e+04,3.700513e+04,-1.385713e+04,-7.193952e+04,2.599996e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.746619e-03,-3.470737e-03,-3.020280e-03,9.475412e-06,-3.711209e-07,3.396558e-07
uty,-3.495242e-03,9.756298e-03,-3.025227e-03,1.619024e-05,4.002126e-06,-4.180061e-07
utz,-3.375608e-03,-3.355976e-03,9.796377e-03,-1.584442e-05,-2.773329e-06,7.487681e-07
ss12,2.427525e-06,5.743840e-06,-5.032453e-06,9.825875e-03,6.254256e-07,2.826114e-06
ss13,-4.666119e-07,2.020572e-06,-1.384688e-06,8.574086e-07,9.799389e-03,-8.821308e-06
ss23,6.458610e-07,-5.185738e-07,-3.688702e-07,2.679257e-06,-6.539489e-06,9.791306e-03
