# Effective stiffness matrix C_ij (Voigt)
# RVE: BTEN_z85, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.065713e+10,5.185934e+09,5.192014e+09,1.095855e+06,1.948525e+06,4.006106e+06
22,5.185934e+09,1.060269e+10,5.181792e+09,-1.344207e+07,-1.551527e+06,3.311187e+06
33,5.192014e+09,5.181792e+09,1.086625e+10,-2.732551e+06,3.689182e+06,-1.414937e+06
12,1.095855e+06,-1.344207e+07,-2.732551e+06,2.721789e+09,4.370995e+06,-2.269365e+06
13,1.948525e+06,-1.551527e+06,3.689182e+06,4.370995e+06,2.736422e+09,-4.054243e+06
23,4.006106e+06,3.311187e+06,-1.414937e+06,-2.269365e+06,-4.054243e+06,2.732008e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,7.273172e+07,-1.345604e-03,-1.546229e-03,1.096390e+05,1.319461e+04,2.728802e+04
uty,-2.504758e-03,7.233426e+07,1.754418e-03,-1.431787e+05,-3.704223e+04,9.017640e+03
utz,-6.279343e-04,1.237592e-03,7.464087e+07,6.134703e+03,5.843548e+04,-8.690841e+03
ss12,6.056165e+04,-1.280414e+05,-1.662722e+04,2.721793e+07,4.511789e+04,-1.260241e+04
ss13,3.467366e+04,-2.826751e+03,6.905237e+04,4.511789e+04,2.736423e+07,-3.402957e+04
ss23,4.146695e+04,2.778734e+04,1.446400e+04,-1.260241e+04,-3.402957e+04,2.732005e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.731126e-03,-3.330732e-03,-3.188949e-03,1.266991e-05,-6.204466e-07,-2.104377e-06
uty,-3.316379e-03,9.718109e-03,-3.187121e-03,-5.531101e-06,-2.290124e-06,-4.698662e-06
utz,-3.272477e-03,-3.284419e-03,9.742995e-03,-3.092045e-06,7.182904e-06,8.795105e-06
ss12,7.528098e-06,-1.691249e-06,-8.468609e-07,9.750975e-03,5.749784e-07,4.369444e-06
ss13,3.616586e-07,5.421772e-08,3.515517e-06,4.602594e-07,9.744587e-03,1.842831e-06
ss23,-8.855224e-07,-2.398384e-06,4.732970e-06,3.008716e-06,2.908761e-06,9.742754e-03
