# Effective stiffness matrix C_ij (Voigt)
# RVE: ICE_z45, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.288305e+10,6.201833e+09,6.200774e+09,6.429950e+06,3.405882e+06,1.955256e+06
22,6.201833e+09,1.287057e+10,6.201286e+09,1.628367e+06,1.178440e+06,-4.843449e+06
33,6.200774e+09,6.201286e+09,1.288173e+10,1.550703e+06,3.567594e+06,-1.179019e+06
12,6.429950e+06,1.628367e+06,1.550703e+06,3.327426e+09,1.911411e+06,1.070047e+06
13,3.405882e+06,1.178440e+06,3.567594e+06,1.911411e+06,3.324185e+09,1.610998e+06
23,1.955256e+06,-4.843449e+06,-1.179019e+06,1.070047e+06,1.610998e+06,3.325322e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,8.851454e+07,-1.078107e-03,-2.443679e-04,3.315258e+04,8.428183e+03,3.129383e+04
uty,-4.154220e-04,8.839865e+07,-2.255413e-03,6.417229e+02,-1.588183e+04,-5.802301e+04
utz,4.708000e-05,-4.717637e-04,8.850755e+07,-9.547800e+03,2.744575e+04,2.966775e+04
ss12,4.254143e+04,1.808227e+04,1.041035e+04,3.327424e+07,1.695113e+04,4.676516e+03
ss13,2.083217e+04,2.552825e+03,3.514112e+04,1.695113e+04,3.324185e+07,1.422823e+04
ss23,2.561558e+04,-4.155225e+04,2.439376e+04,4.676516e+03,1.422823e+04,3.325321e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.823902e-03,-3.254287e-03,-3.247352e-03,-6.305451e-06,-3.005244e-06,-2.424678e-06
uty,-3.249666e-03,9.820153e-03,-3.249847e-03,2.833616e-06,-1.768277e-06,-2.061719e-06
utz,-3.246565e-03,-3.253480e-03,9.826909e-03,2.495796e-07,1.640356e-06,1.021304e-05
ss12,-2.316341e-06,1.288033e-06,1.873107e-07,9.830358e-03,-5.837767e-07,-1.817566e-06
ss13,-1.157748e-06,-4.400836e-07,8.986922e-07,-7.120668e-07,9.836130e-03,-4.857934e-07
ss23,-8.686705e-07,-7.985950e-07,3.396152e-06,-1.799987e-06,-6.471899e-07,9.833028e-03
