# Effective stiffness matrix C_ij (Voigt)
# RVE: LTEN_z95, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.217313e+09,5.409470e+08,5.557864e+08,-2.564002e+07,1.525708e+07,-5.358447e+05
22,5.409470e+08,8.440274e+09,2.867687e+09,-9.254765e+06,7.349935e+06,1.393173e+05
33,5.557864e+08,2.867687e+09,8.517420e+09,-1.064459e+07,1.210082e+07,-1.940793e+06
12,-2.564002e+07,-9.254765e+06,-1.064459e+07,6.306016e+08,-3.073565e+06,1.233586e+04
13,1.525708e+07,7.349935e+06,1.210082e+07,-3.073565e+06,6.625236e+08,2.408488e+06
23,-5.358447e+05,1.393173e+05,-1.940793e+06,1.233586e+04,2.408488e+06,2.792270e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,1.164281e+07,-1.241826e-04,-3.659833e-04,-2.438024e+05,1.461623e+05,1.821087e+03
uty,-3.112003e-04,7.368774e+07,-9.991531e-05,-7.724191e+03,-9.140465e+03,1.145559e+04
utz,1.616990e-04,7.148278e-05,7.426079e+07,7.714584e+03,5.257599e+04,-2.039926e+04
ss12,-2.552038e+05,-1.210236e+05,-1.128326e+05,6.306075e+06,-3.370950e+04,8.320322e+03
ss13,1.563342e+05,7.924837e+04,1.280799e+05,-3.370950e+04,6.625379e+06,3.520901e+04
ss23,1.204895e+03,6.001640e+03,-1.806816e+04,8.320322e+03,3.520901e+04,2.792270e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.744241e-03,-4.770688e-04,-4.930162e-04,7.834634e-06,1.022808e-06,4.032235e-06
uty,-2.972353e-03,9.778529e-03,-3.171466e-03,-1.677121e-06,-1.829081e-08,1.247808e-06
utz,-3.146397e-03,-3.195920e-03,9.806543e-03,-8.020386e-06,-4.947024e-06,-4.220302e-07
ss12,7.484259e-07,-6.907045e-06,1.523646e-06,9.854995e-03,-3.351026e-06,5.473316e-06
ss13,4.641703e-06,4.696655e-07,1.397615e-06,-5.692746e-06,9.861829e-03,8.343774e-06
ss23,1.184301e-06,1.420210e-07,-4.367643e-07,1.808563e-06,-1.590258e-06,9.802834e-03
